team,wl,anet,aortg,adrtg,sos,osos,dsos,pace,opl,dpl,date
MEM,0-2,-8.725,110.115,118.727,0.114,0.117,0.115,105.83,13.69,13.67,2020-12-27
POR,1-1,-7.924,111.310,119.228,-0.324,0.115,-0.425,97.929,14.724,14.726,2020-12-27
DEN,0-2,-7.823,110.712,118.626,-0.017,0.29,-0.222,98.627,14.722,14.525,2020-12-27
MIN,2-1,-6.622,102.725,109.317,0.67,0.111,0.47,103.215,13.813,14.118,2020-12-27
LAC,2-1,-5.821,105.920,111.721,4.03,0.113,3.92,98.028,15.430,14.014,2020-12-27
MIL,1-2,-5.420,114.95,120.230,-8.929,-3.628,-5.330,103.513,13.02,14.928,2020-12-27
SAC,2-1,-2.619,106.719,109.418,0.59,0.35,0.29,100.521,13.711,14.930,2020-12-27
CHA,1-2,-2.518,105.521,108.015,-0.323,0.020,-0.324,103.314,13.57,14.423,2020-12-27
GSW,1-2,-18.030,97.730,115.724,0.86,0.112,0.76,111.81,12.71,13.13,2020-12-27
UTA,1-1,7.46,114.37,106.913,-0.118,-0.022,-0.018,101.019,14.116,14.421,2020-12-27
MIA,1-1,4.39,108.317,104.09,-0.222,-0.124,-0.119,101.020,14.115,14.422,2020-12-27
IND,3-0,10.13,112.39,102.15,-0.015,-0.123,0.113,104.78,13.58,14.013,2020-12-27
CLE,3-0,10.04,112.88,102.88,-1.926,0.28,-2.228,101.517,14.926,13.55,2020-12-27
DAL,1-2,9.05,115.64,106.611,0.212,0.114,0.112,99.026,14.217,14.929,2020-12-27
PHX,2-1,6.57,109.016,102.57,1.65,1.43,0.210,101.218,14.825,13.68,2020-12-27
ORL,3-0,6.28,114.56,108.316,-0.016,-0.021,0.016,105.26,13.814,13.66,2020-12-27
NYK,1-2,-1.015,110.614,111.620,2.14,0.94,1.35,100.025,14.928,13.910,2020-12-27
SAS,2-1,3.610,110.613,107.014,-0.220,-0.225,0.017,104.311,14.218,13.44,2020-12-27
OKC,1-0,3.411,105.022,101.64,0.58,0.210,0.38,104.510,14.721,12.92,2020-12-27
BKN,2-1,2.212,102.427,100.21,-14.430,-10.030,-4.429,104.59,13.46,14.119,2020-12-27
NOP,2-1,1.213,102.726,101.53,-0.119,0.019,-0.121,100.322,14.620,14.116,2020-12-27
BOS,1-2,0.514,110.911,110.419,8.82,1.92,6.91,100.224,14.929,13.89,2020-12-27
DEN,0-2,-7.822,110.717,118.623,-0.017,0.214,-0.218,98.628,14.724,14.525,2020-12-26
PHX,1-1,-2.617,95.228,97.83,-2.123,-6.727,4.65,102.515,14.520,13.610,2020-12-26
SAS,2-0,-3.418,116.99,120.327,-9.727,-1.322,-8.427,106.35,13.914,13.25,2020-12-26
IND,2-0,-3.919,106.124,109.915,-17.928,-8.928,-9.028,106.36,12.94,14.217,2020-12-26
DAL,0-2,-4.120,117.66,121.729,7.65,9.74,-2.122,101.817,14.015,14.319,2020-12-26
MIL,1-1,-5.021,111.914,116.922,-20.030,-10.330,-9.730,105.39,12.72,14.626,2020-12-26
GSW,0-2,-23.629,92.030,115.620,5.37,2.410,2.97,110.81,13.16,12.91,2020-12-26
BOS,1-1,-14.628,109.219,123.930,-3.125,-1.923,-1.321,99.527,15.630,13.47,2020-12-26
POR,1-1,-7.923,111.315,119.225,-0.321,0.116,-0.420,97.929,14.725,14.728,2020-12-26
MEM,0-2,-8.724,110.118,118.724,0.116,0.118,0.114,105.87,13.610,13.69,2020-12-26
DET,0-2,-8.825,98.027,106.812,0.115,0.213,-0.117,101.719,14.319,14.015,2020-12-26
TOR,0-2,-9.826,102.926,112.719,-0.219,0.019,-0.219,104.811,13.05,14.523,2020-12-26
NYK,0-2,-10.027,106.523,116.521,4.98,7.56,-2.723,100.026,14.622,14.216,2020-12-26
SAC,2-0,-0.115,110.916,111.018,-3.024,2.99,-5.926,101.520,13.712,14.727,2020-12-26
HOU,0-1,-1.616,117.85,119.526,0.314,0.117,0.212,96.930,14.926,14.829,2020-12-26
CHA,0-2,10.48,121.31,110.917,15.33,14.51,0.710,103.313,12.93,15.030,2020-12-26
OKC,1-0,3.414,105.025,101.64,0.512,0.215,0.311,104.512,14.723,12.92,2020-12-26
MIA,1-1,4.313,108.321,104.010,-0.220,-0.121,-0.116,101.022,14.117,14.421,2020-12-26
MIN,2-0,4.912,115.011,110.216,-2.022,3.88,-5.725,101.818,14.116,14.218,2020-12-26
UTA,1-1,7.411,114.312,106.913,-0.118,-0.020,-0.015,101.021,14.118,14.420,2020-12-26
BKN,2-0,7.410,109.120,101.75,-18.929,-9.629,-9.329,105.010,13.58,13.913,2020-12-26
LAL,1-1,9.89,116.110,106.311,3.110,-3.826,6.92,102.514,13.69,14.524,2020-12-26
CLE,2-0,11.97,114.013,102.17,4.89,3.87,1.09,102.316,14.621,13.58,2020-12-26
WAS,0-2,12.56,119.73,107.214,18.91,14.22,4.84,108.02,12.21,14.422,2020-12-26
PHI,2-0,14.15,107.922,93.81,1.711,-2.024,3.76,100.823,15.329,13.26,2020-12-26
NOP,1-1,14.54,117.38,102.89,13.54,11.83,1.68,100.325,15.128,13.711,2020-12-26
ATL,2-0,15.13,117.47,102.38,0.313,0.212,0.113,105.38,13.47,13.914,2020-12-26
LAC,2-0,18.02,119.74,101.76,7.46,1.211,6.23,100.324,15.127,13.712,2020-12-26
ORL,2-0,23.61,120.72,97.02,18.22,8.75,9.51,107.53,13.711,13.13,2020-12-26
CHI,0-2,-25.730,94.829,120.528,-6.926,-3.325,-3.624,106.84,13.813,13.24,2020-12-26
PHX,1-0,-0.214,96.225,96.33,-2.121,-6.725,4.65,103.014,14.620,13.47,2020-12-25
DEN,0-2,-7.821,110.716,118.622,-0.015,0.214,-0.216,98.628,14.723,14.521,2020-12-25
CHI,0-1,-26.728,93.927,120.625,-6.924,-3.323,-3.622,106.67,13.713,13.36,2020-12-25
POR,0-1,-18.226,102.123,120.424,-0.319,0.115,-0.418,99.027,14.622,14.419,2020-12-25
BOS,1-1,-14.625,109.218,123.928,-3.123,-1.921,-1.319,99.525,15.628,13.48,2020-12-25
TOR,0-1,-14.624,94.326,108.913,-0.217,0.017,-0.217,104.513,12.72,14.925,2020-12-25
DET,0-1,-10.923,100.224,111.115,0.113,0.213,-0.115,100.521,14.621,14.115,2020-12-25
MEM,0-1,-7.822,112.314,120.123,0.114,0.116,0.112,107.52,13.16,13.713,2020-12-25
IND,1-0,-7.720,104.221,111.916,-17.926,-8.926,-9.026,105.510,12.94,14.418,2020-12-25
NYK,0-1,-5.319,110.417,115.819,4.98,7.56,-2.721,105.59,14.418,12.93,2020-12-25
MIL,1-1,-5.018,111.915,116.920,-20.028,-10.328,-9.728,105.311,12.73,14.623,2020-12-25
DAL,0-2,-4.117,117.66,121.727,7.65,9.74,-2.120,101.818,14.015,14.316,2020-12-25
SAS,1-0,-1.816,118.85,120.726,-9.725,-1.320,-8.425,107.53,13.714,13.15,2020-12-25
SAC,1-0,-0.215,114.611,114.817,-3.022,2.99,-5.924,101.020,13.610,14.926,2020-12-25
MIA,1-1,4.313,108.320,104.010,-0.218,-0.119,-0.114,101.019,14.117,14.417,2020-12-25
PHI,1-0,7.312,103.622,96.32,1.711,-2.022,3.76,107.05,15.126,11.81,2020-12-25
BKN,2-0,7.411,109.119,101.76,-18.927,-9.627,-9.327,105.012,13.59,13.914,2020-12-25
CHA,0-1,8.410,126.31,117.921,15.33,14.51,0.710,102.017,12.95,15.328,2020-12-25
MIN,1-0,9.09,114.810,105.711,-2.020,3.88,-5.723,100.522,14.116,14.622,2020-12-25
LAL,1-1,9.88,116.19,106.312,3.110,-3.824,6.92,102.515,13.611,14.520,2020-12-25
CLE,1-0,11.67,122.42,110.814,4.89,3.87,1.09,102.016,15.327,12.94,2020-12-25
WAS,0-1,13.36,114.213,100.85,18.91,14.22,4.84,107.04,11.81,15.127,2020-12-25
NOP,1-1,14.55,117.37,102.89,13.54,11.83,1.68,100.324,15.125,13.710,2020-12-25
UTA,1-0,17.94,120.03,102.18,-0.116,-0.018,-0.013,99.026,14.419,14.624,2020-12-25
LAC,2-0,18.03,119.74,101.77,7.46,1.211,6.23,100.323,15.124,13.711,2020-12-25
ATL,1-0,20.12,117.28,97.14,0.312,0.212,0.111,106.66,13.38,13.712,2020-12-25
ORL,1-0,21.91,114.312,92.41,18.22,8.75,9.51,106.08,13.612,13.59,2020-12-25
GSW,0-2,-23.627,92.028,115.618,5.37,2.410,2.97,110.81,13.17,12.92,2020-12-25
GSW,0-1,-24.427,88.028,112.420,-1.221,-0.421,-0.821,112.01,12.73,13.07,2020-12-24
CHI,0-1,-26.728,93.927,120.627,-6.925,-3.324,-3.623,106.68,13.715,13.310,2020-12-24
ORL,1-0,21.91,114.39,92.41,18.22,8.73,9.52,106.09,13.614,13.512,2020-12-24
BKN,1-0,-1.114,107.717,108.812,-24.328,-3.925,-20.428,112.02,13.07,12.73,2020-12-24
POR,0-1,-18.226,102.121,120.426,-0.314,0.111,-0.414,99.028,14.623,14.419,2020-12-24
TOR,0-1,-14.625,94.326,108.915,-0.213,0.013,-0.213,104.514,12.72,14.924,2020-12-24
DET,0-1,-10.924,100.224,111.117,0.110,0.210,-0.112,100.525,14.622,14.117,2020-12-24
MEM,0-1,-7.823,112.311,120.125,0.111,0.112,0.110,107.53,13.18,13.716,2020-12-24
IND,1-0,-7.722,104.219,111.918,-17.927,-8.927,-9.027,105.512,12.95,14.418,2020-12-24
NYK,0-1,-5.321,110.413,115.822,4.96,7.54,-2.722,105.511,14.418,12.95,2020-12-24
ATL,1-0,20.12,117.26,97.15,0.39,0.29,0.19,106.67,13.310,13.715,2020-12-24
DEN,0-1,-3.719,108.714,112.419,-0.915,-0.315,-0.715,101.023,14.925,13.613,2020-12-24
DAL,0-1,-3.118,100.623,103.78,-1.218,-0.418,-0.818,103.018,13.411,14.621,2020-12-24
SAS,1-0,-1.817,118.85,120.728,-9.726,-1.322,-8.426,107.54,13.716,13.18,2020-12-24
MIL,0-1,-1.116,107.716,108.814,5.35,-10.928,16.21,101.021,12.84,15.828,2020-12-24
LAL,0-1,-1.115,107.718,108.813,6.74,3.95,2.76,104.513,13.19,14.520,2020-12-24
MIA,0-1,-4.920,101.522,106.411,-1.220,-0.420,-0.820,106.010,13.512,13.614,2020-12-24
SAC,1-0,-0.213,114.68,114.821,-3.024,2.98,-5.925,101.024,13.613,14.925,2020-12-24
CHA,0-1,8.48,126.31,117.923,15.33,14.51,0.78,102.020,12.96,15.327,2020-12-24
WAS,0-1,13.34,114.210,100.86,18.91,14.22,4.83,107.05,11.81,15.126,2020-12-24
NOP,1-0,13.25,108.315,95.12,-1.217,-0.417,-0.817,104.515,14.924,12.72,2020-12-24
UTA,1-0,17.93,120.04,102.17,-0.112,-0.014,-0.011,99.027,14.419,14.623,2020-12-24
MIN,1-0,9.07,114.87,105.710,-2.022,3.87,-5.724,100.526,14.117,14.622,2020-12-24
CLE,1-0,11.66,122.43,110.816,4.87,3.86,1.07,102.019,15.327,12.96,2020-12-24
PHI,1-0,7.39,103.620,96.33,1.78,-2.023,3.75,107.06,15.126,11.81,2020-12-24
LAC,1-0,6.510,111.112,104.69,-1.219,-0.419,-0.819,104.516,14.520,13.19,2020-12-24
BOS,1-0,5.511,124.72,119.324,-0.916,-0.316,-0.716,101.022,15.828,12.84,2020-12-24
PHX,1-0,-0.212,96.225,96.34,-2.123,-6.726,4.64,103.017,14.621,13.411,2020-12-24
CHA,0-1,8.48,126.31,117.923,15.33,14.51,0.78,102.020,12.96,15.327,2020-12-23
BKN,1-0,-1.114,107.717,108.812,-24.328,-3.925,-20.428,112.02,13.07,12.73,2020-12-23
SAC,1-0,-0.213,114.68,114.821,-3.024,2.98,-5.925,101.024,13.613,14.925,2020-12-23
PHX,1-0,-0.212,96.225,96.34,-2.123,-6.726,4.64,103.017,14.621,13.411,2020-12-23
BOS,1-0,5.511,124.72,119.324,-0.916,-0.316,-0.716,101.022,15.828,12.84,2020-12-23
LAC,1-0,6.510,111.112,104.69,-1.219,-0.419,-0.819,104.516,14.520,13.19,2020-12-23
PHI,1-0,7.39,103.620,96.33,1.78,-2.023,3.75,107.06,15.126,11.81,2020-12-23
UTA,1-0,17.93,120.04,102.17,-0.112,-0.014,-0.011,99.027,14.419,14.623,2020-12-23
MIN,1-0,9.07,114.87,105.710,-2.022,3.87,-5.724,100.526,14.117,14.622,2020-12-23
CLE,1-0,11.66,122.43,110.816,4.87,3.86,1.07,102.019,15.327,12.96,2020-12-23
NOP,1-0,13.25,108.315,95.12,-1.217,-0.417,-0.817,104.515,14.924,12.72,2020-12-23
WAS,0-1,13.34,114.210,100.86,18.91,14.22,4.83,107.05,11.81,15.126,2020-12-23
ORL,1-0,21.91,114.39,92.41,18.22,8.73,9.52,106.09,13.614,13.512,2020-12-23
ATL,1-0,20.12,117.26,97.15,0.39,0.29,0.19,106.67,13.310,13.715,2020-12-23
SAS,1-0,-1.817,118.85,120.728,-9.726,-1.322,-8.426,107.54,13.716,13.18,2020-12-23
MIL,0-1,-1.116,107.716,108.814,5.35,-10.928,16.21,101.021,12.84,15.828,2020-12-23
LAL,0-1,-1.115,107.718,108.813,6.74,3.95,2.76,104.513,13.19,14.520,2020-12-23
DAL,0-1,-3.118,100.623,103.78,-1.218,-0.418,-0.818,103.018,13.411,14.621,2020-12-23
MIA,0-1,-4.920,101.522,106.411,-1.220,-0.420,-0.820,106.010,13.512,13.614,2020-12-23
NYK,0-1,-5.321,110.413,115.822,4.96,7.54,-2.722,105.511,14.418,12.95,2020-12-23
IND,1-0,-7.722,104.219,111.918,-17.927,-8.927,-9.027,105.512,12.95,14.418,2020-12-23
MEM,0-1,-7.823,112.311,120.125,0.111,0.112,0.110,107.53,13.18,13.716,2020-12-23
DET,0-1,-10.924,100.224,111.117,0.110,0.210,-0.112,100.525,14.622,14.117,2020-12-23
TOR,0-1,-14.625,94.326,108.915,-0.213,0.013,-0.213,104.514,12.72,14.924,2020-12-23
POR,0-1,-18.226,102.121,120.426,-0.314,0.111,-0.414,99.028,14.623,14.419,2020-12-23
GSW,0-1,-24.427,88.028,112.420,-1.221,-0.421,-0.821,112.01,12.73,13.07,2020-12-23
CHI,0-1,-26.728,93.927,120.627,-6.925,-3.324,-3.623,106.68,13.715,13.310,2020-12-23
DEN,0-1,-3.719,108.714,112.419,-0.915,-0.315,-0.715,101.023,14.925,13.613,2020-12-23
LAL,0-1,-1.13,107.73,108.83,6.71,3.91,2.71,104.53,13.13,14.54,2020-12-22
GSW,0-1,-24.44,88.04,112.44,-1.23,-0.43,-0.83,112.01,12.71,13.02,2020-12-22
BKN,1-0,-1.12,107.72,108.82,-24.34,-3.94,-20.44,112.02,13.02,12.71,2020-12-22
LAC,1-0,6.51,111.11,104.61,-1.22,-0.42,-0.82,104.54,14.54,13.13,2020-12-22
NOP,30-42,-0.616,111.114,111.819,0.64,0.39,0.49,103.62,13.62,14.29,2020-09-30
GSW,15-50,-8.430,104.730,113.124,0.413,-0.124,0.54,100.613,14.111,14.523,2020-09-30
CLE,19-46,-8.429,107.326,115.629,-0.326,0.115,-0.427,98.923,14.824,14.315,2020-09-30
ATL,20-47,-7.328,107.625,114.928,0.118,0.37,-0.121,102.96,13.74,14.313,2020-09-30
CHA,23-42,-7.227,106.327,113.425,-0.224,0.118,-0.323,96.030,15.028,15.030,2020-09-30
NYK,21-45,-6.726,106.228,113.023,-0.325,-0.328,-0.018,98.625,14.618,14.626,2020-09-30
WAS,25-47,-5.225,110.616,115.830,-0.628,-0.123,-0.528,102.97,13.75,14.210,2020-09-30
DET,20-46,-4.824,108.922,113.726,-1.029,-0.227,-0.829,97.528,14.927,14.624,2020-09-30
MIN,19-45,-3.822,108.124,111.920,0.216,0.020,0.212,103.53,13.86,14.02,2020-09-30
BKN,35-41,-1.821,109.020,110.815,-0.122,0.38,-0.426,101.48,14.112,14.312,2020-09-30
SAC,31-41,-1.620,110.017,111.618,0.59,0.116,0.45,99.218,14.414,14.728,2020-09-30
ORL,34-44,-1.319,108.423,109.710,0.510,0.45,0.115,99.119,14.823,14.314,2020-09-30
POR,36-43,-0.918,113.53,114.427,0.83,0.53,0.46,100.911,14.516,14.04,2020-09-30
MEM,34-39,-0.817,108.921,109.712,0.117,-0.225,0.310,103.04,14.08,14.03,2020-09-30
CHI,22-43,-4.423,105.729,110.114,-1.330,-0.530,-0.830,100.116,14.07,14.829,2020-09-30
SAS,32-39,-0.515,112.410,112.922,0.314,0.211,0.114,100.812,14.515,14.16,2020-09-30
MIA,56-33,3.77,113.45,109.711,0.92,0.81,0.016,98.027,14.825,14.522,2020-09-30
PHX,34-39,0.614,111.811,111.217,-0.121,-0.121,0.017,101.39,14.213,14.311,2020-09-30
LAL,65-22,6.92,112.98,106.03,0.65,-0.122,0.72,100.315,14.617,14.17,2020-09-30
LAC,56-29,6.63,113.54,106.95,0.67,-0.429,0.91,101.310,14.09,14.417,2020-09-30
BOS,58-31,6.44,113.26,106.84,0.315,0.36,-0.019,99.022,14.621,14.519,2020-09-30
TOR,60-23,6.05,111.115,105.12,0.020,0.117,-0.120,100.514,14.010,14.625,2020-09-30
DAL,45-36,3.96,116.21,112.421,0.412,0.212,0.213,99.717,14.722,14.28,2020-09-30
MIL,61-22,8.11,111.812,103.71,-0.527,-0.226,-0.325,104.61,13.73,13.91,2020-09-30
UTA,47-32,3.18,113.17,110.013,0.411,0.019,0.48,98.226,14.926,14.416,2020-09-30
DEN,55-37,2.610,113.72,111.116,1.21,0.62,0.63,96.729,15.130,14.627,2020-09-30
PHI,43-34,1.711,111.213,109.68,0.119,0.210,-0.222,98.924,15.129,14.15,2020-09-30
OKC,47-32,1.612,109.918,108.36,0.58,0.213,0.47,99.120,14.620,14.518,2020-09-30
HOU,49-35,3.09,112.69,109.69,0.66,0.44,0.211,103.05,13.51,14.521,2020-09-30
IND,45-32,1.313,109.819,108.57,-0.223,0.114,-0.324,99.021,14.619,14.520,2020-09-30
UTA,47-32,3.18,113.17,110.013,0.411,0.019,0.48,98.226,14.926,14.416,2020-09-29
IND,45-32,1.313,109.819,108.57,-0.223,0.114,-0.324,99.021,14.619,14.520,2020-09-29
OKC,47-32,1.612,109.918,108.36,0.58,0.213,0.47,99.120,14.620,14.518,2020-09-29
PHI,43-34,1.711,111.213,109.68,0.119,0.210,-0.222,98.924,15.129,14.15,2020-09-29
DEN,55-37,2.610,113.72,111.116,1.21,0.62,0.63,96.729,15.130,14.627,2020-09-29
HOU,49-35,3.09,112.69,109.69,0.66,0.44,0.211,103.05,13.51,14.521,2020-09-29
MIA,56-32,3.96,113.63,109.610,0.92,0.81,0.016,98.127,14.925,14.522,2020-09-29
DAL,45-36,3.97,116.21,112.421,0.412,0.212,0.213,99.717,14.722,14.28,2020-09-29
TOR,60-23,6.05,111.115,105.12,0.020,0.117,-0.120,100.514,14.010,14.625,2020-09-29
BOS,58-31,6.44,113.26,106.84,0.315,0.36,-0.019,99.022,14.621,14.519,2020-09-29
LAC,56-29,6.63,113.55,106.95,0.67,-0.429,0.91,101.310,14.09,14.417,2020-09-29
LAL,64-22,6.72,112.88,106.13,0.65,-0.122,0.72,100.415,14.617,14.17,2020-09-29
SAS,32-39,-0.515,112.410,112.922,0.314,0.211,0.114,100.812,14.515,14.16,2020-09-29
PHX,34-39,0.614,111.811,111.217,-0.121,-0.121,0.017,101.39,14.213,14.311,2020-09-29
CHI,22-43,-4.423,105.729,110.114,-1.330,-0.530,-0.830,100.116,14.07,14.829,2020-09-29
NOP,30-42,-0.616,111.114,111.819,0.64,0.39,0.49,103.62,13.62,14.29,2020-09-29
MEM,34-39,-0.817,108.921,109.712,0.117,-0.225,0.310,103.04,14.08,14.03,2020-09-29
POR,36-43,-0.918,113.54,114.427,0.83,0.53,0.46,100.911,14.516,14.04,2020-09-29
ORL,34-44,-1.319,108.423,109.711,0.510,0.45,0.115,99.119,14.823,14.314,2020-09-29
SAC,31-41,-1.620,110.017,111.618,0.59,0.116,0.45,99.218,14.414,14.728,2020-09-29
BKN,35-41,-1.821,109.020,110.815,-0.122,0.38,-0.426,101.48,14.112,14.312,2020-09-29
MIN,19-45,-3.822,108.124,111.920,0.216,0.020,0.212,103.53,13.86,14.02,2020-09-29
DET,20-46,-4.824,108.922,113.726,-1.029,-0.227,-0.829,97.528,14.927,14.624,2020-09-29
WAS,25-47,-5.225,110.616,115.830,-0.628,-0.123,-0.528,102.97,13.75,14.210,2020-09-29
NYK,21-45,-6.726,106.228,113.023,-0.325,-0.328,-0.018,98.625,14.618,14.626,2020-09-29
CHA,23-42,-7.227,106.327,113.425,-0.224,0.118,-0.323,96.030,15.028,15.030,2020-09-29
ATL,20-47,-7.328,107.625,114.928,0.118,0.37,-0.121,102.96,13.74,14.313,2020-09-29
CLE,19-46,-8.429,107.326,115.629,-0.326,0.115,-0.427,98.923,14.824,14.315,2020-09-29
GSW,15-50,-8.430,104.730,113.124,0.413,-0.124,0.54,100.613,14.111,14.523,2020-09-29
MIL,61-22,8.11,111.812,103.71,-0.527,-0.226,-0.325,104.61,13.73,13.91,2020-09-29
CLE,19-46,-8.429,107.326,115.629,-0.326,0.115,-0.427,98.923,14.824,14.315,2020-09-28
NOP,30-42,-0.616,111.114,111.819,0.64,0.39,0.49,103.62,13.62,14.29,2020-09-28
IND,45-32,1.313,109.819,108.57,-0.223,0.114,-0.324,99.021,14.619,14.520,2020-09-28
GSW,15-50,-8.430,104.730,113.124,0.413,-0.124,0.54,100.613,14.111,14.523,2020-09-28
MIL,61-22,8.11,111.812,103.71,-0.527,-0.226,-0.325,104.61,13.73,13.91,2020-09-28
LAL,64-22,6.72,112.88,106.13,0.65,-0.122,0.72,100.415,14.617,14.17,2020-09-28
LAC,56-29,6.63,113.55,106.95,0.67,-0.429,0.91,101.310,14.09,14.417,2020-09-28
BOS,58-31,6.44,113.26,106.84,0.315,0.36,-0.019,99.022,14.621,14.519,2020-09-28
TOR,60-23,6.05,111.115,105.12,0.020,0.117,-0.120,100.514,14.010,14.625,2020-09-28
MIA,56-32,3.96,113.63,109.610,0.92,0.81,0.016,98.127,14.925,14.522,2020-09-28
DAL,45-36,3.97,116.21,112.421,0.412,0.212,0.213,99.717,14.722,14.28,2020-09-28
UTA,47-32,3.18,113.17,110.013,0.411,0.019,0.48,98.226,14.926,14.416,2020-09-28
HOU,49-35,3.09,112.69,109.69,0.66,0.44,0.211,103.05,13.51,14.521,2020-09-28
DEN,55-37,2.610,113.72,111.116,1.21,0.62,0.63,96.729,15.130,14.627,2020-09-28
PHI,43-34,1.711,111.213,109.68,0.119,0.210,-0.222,98.924,15.129,14.15,2020-09-28
OKC,47-32,1.612,109.918,108.36,0.58,0.213,0.47,99.120,14.620,14.518,2020-09-28
ATL,20-47,-7.328,107.625,114.928,0.118,0.37,-0.121,102.96,13.74,14.313,2020-09-28
PHX,34-39,0.614,111.811,111.217,-0.121,-0.121,0.017,101.39,14.213,14.311,2020-09-28
MIN,19-45,-3.822,108.124,111.920,0.216,0.020,0.212,103.53,13.86,14.02,2020-09-28
SAS,32-39,-0.515,112.410,112.922,0.314,0.211,0.114,100.812,14.515,14.16,2020-09-28
CHA,23-42,-7.227,106.327,113.425,-0.224,0.118,-0.323,96.030,15.028,15.030,2020-09-28
NYK,21-45,-6.726,106.228,113.023,-0.325,-0.328,-0.018,98.625,14.618,14.626,2020-09-28
WAS,25-47,-5.225,110.616,115.830,-0.628,-0.123,-0.528,102.97,13.75,14.210,2020-09-28
CHI,22-43,-4.423,105.729,110.114,-1.330,-0.530,-0.830,100.116,14.07,14.829,2020-09-28
DET,20-46,-4.824,108.922,113.726,-1.029,-0.227,-0.829,97.528,14.927,14.624,2020-09-28
BKN,35-41,-1.821,109.020,110.815,-0.122,0.38,-0.426,101.48,14.112,14.312,2020-09-28
SAC,31-41,-1.620,110.017,111.618,0.59,0.116,0.45,99.218,14.414,14.728,2020-09-28
ORL,34-44,-1.319,108.423,109.711,0.510,0.45,0.115,99.119,14.823,14.314,2020-09-28
POR,36-43,-0.918,113.54,114.427,0.83,0.53,0.46,100.911,14.516,14.04,2020-09-28
MEM,34-39,-0.817,108.921,109.712,0.117,-0.225,0.310,103.04,14.08,14.03,2020-09-28
CHI,22-43,-4.423,105.729,110.114,-1.330,-0.530,-0.830,100.116,14.07,14.829,2020-09-27
POR,36-43,-0.918,113.54,114.427,0.92,0.53,0.46,100.911,14.516,14.04,2020-09-27
ORL,34-44,-1.319,108.423,109.610,0.510,0.45,0.115,99.119,14.823,14.314,2020-09-27
SAC,31-41,-1.620,110.017,111.618,0.59,0.116,0.45,99.218,14.414,14.728,2020-09-27
BKN,35-41,-1.821,109.020,110.815,-0.122,0.39,-0.426,101.48,14.112,14.312,2020-09-27
MIN,19-45,-3.822,108.124,111.920,0.216,0.020,0.212,103.53,13.86,14.02,2020-09-27
CLE,19-46,-8.429,107.326,115.629,-0.326,0.115,-0.427,98.923,14.824,14.315,2020-09-27
DET,20-46,-4.824,108.922,113.726,-1.029,-0.227,-0.829,97.528,14.927,14.624,2020-09-27
WAS,25-47,-5.225,110.616,115.830,-0.628,-0.123,-0.528,102.97,13.75,14.210,2020-09-27
NYK,21-45,-6.726,106.228,113.023,-0.325,-0.328,-0.018,98.625,14.618,14.626,2020-09-27
CHA,23-42,-7.127,106.327,113.425,-0.224,0.118,-0.323,96.030,15.028,15.030,2020-09-27
ATL,20-47,-7.328,107.625,114.928,0.118,0.38,-0.121,102.96,13.74,14.313,2020-09-27
NOP,30-42,-0.616,111.114,111.719,0.65,0.37,0.49,103.62,13.62,14.29,2020-09-27
GSW,15-50,-8.430,104.730,113.124,0.413,-0.124,0.54,100.613,14.111,14.523,2020-09-27
MEM,34-39,-0.817,108.921,109.712,0.117,-0.225,0.310,103.04,14.08,14.03,2020-09-27
DEN,55-37,2.610,113.72,111.116,1.21,0.62,0.63,96.729,15.130,14.627,2020-09-27
SAS,32-39,-0.515,112.410,112.922,0.314,0.211,0.114,100.812,14.515,14.16,2020-09-27
PHX,34-39,0.614,111.911,111.217,-0.121,-0.121,0.016,101.39,14.213,14.311,2020-09-27
IND,45-32,1.313,109.819,108.57,-0.223,0.114,-0.324,99.021,14.619,14.520,2020-09-27
OKC,47-32,1.612,109.918,108.36,0.58,0.213,0.48,99.120,14.620,14.518,2020-09-27
PHI,43-34,1.711,111.213,109.68,0.119,0.210,-0.222,98.924,15.129,14.15,2020-09-27
HOU,49-35,3.09,112.69,109.69,0.64,0.44,0.211,103.05,13.51,14.521,2020-09-27
UTA,47-32,3.18,113.17,110.013,0.411,0.019,0.47,98.226,14.926,14.416,2020-09-27
MIA,56-32,3.97,113.53,109.711,0.83,0.81,0.017,98.127,14.925,14.522,2020-09-27
DAL,45-36,3.96,116.21,112.321,0.412,0.212,0.213,99.717,14.722,14.28,2020-09-27
TOR,60-23,6.05,111.115,105.12,0.020,0.117,-0.120,100.514,14.010,14.625,2020-09-27
BOS,58-31,6.44,113.26,106.84,0.315,0.36,-0.119,99.022,14.621,14.519,2020-09-27
LAC,56-29,6.63,113.55,106.95,0.67,-0.429,0.91,101.310,14.09,14.417,2020-09-27
MIL,61-22,8.11,111.812,103.71,-0.527,-0.226,-0.325,104.61,13.73,13.91,2020-09-27
LAL,64-22,6.72,112.88,106.13,0.66,-0.122,0.72,100.415,14.617,14.17,2020-09-27
MIL,61-22,8.11,111.812,103.71,-0.527,-0.226,-0.325,104.61,13.73,13.91,2020-09-26
LAL,64-22,6.72,112.88,106.13,0.66,-0.122,0.72,100.415,14.617,14.17,2020-09-26
BOS,58-30,6.63,113.26,106.64,0.315,0.36,-0.119,99.022,14.621,14.519,2020-09-26
POR,36-43,-0.918,113.53,114.427,0.92,0.53,0.46,100.911,14.516,14.04,2020-09-26
