TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,PLAYER_SLUG,POSITION,HEIGHT,WEIGHT,AGE,EXPERIENCE
1610612737,ATL,1629164,Brandon Goodwin,brandon-goodwin,G,6-0,180,25.0,2
1610612737,ATL,1630233,Nathan Knight,nathan-knight,F-C,6-10,253,23.0,R
1610612737,ATL,1628989,Kevin Huerter,kevin-huerter,G-F,6-7,190,22.0,2
1610612737,ATL,1630219,Skylar Mays,skylar-mays,G,6-4,205,23.0,R
1610612737,ATL,201568,Danilo Gallinari,danilo-gallinari,F,6-10,233,32.0,11
1610612737,ATL,1629027,Trae Young,trae-young,G,6-1,180,22.0,2
1610612737,ATL,1629631,De'Andre Hunter,deandre-hunter,F-G,6-8,225,23.0,1
1610612737,ATL,203992,Bogdan Bogdanovic,bogdan-bogdanovic,G,6-6,220,28.0,3
1610612737,ATL,203991,Clint Capela,clint-capela,C,6-10,240,26.0,6
1610612737,ATL,1630168,Onyeka Okongwu,onyeka-okongwu,F-C,6-8,235,20.0,R
1610612737,ATL,203524,Solomon Hill,solomon-hill,F,6-6,226,30.0,7
1610612737,ATL,203503,Tony Snell,tony-snell,G,6-6,213,29.0,7
1610612737,ATL,1628381,John Collins,john-collins,F-C,6-9,235,23.0,3
1610612737,ATL,1629629,Cam Reddish,cam-reddish,F-G,6-8,218,21.0,1
1610612737,ATL,101150,Lou Williams,lou-williams,G,6-1,175,34.0,15
1610612737,ATL,1628981,Bruno Fernando,bruno-fernando,F-C,6-9,240,22.0,1
1610612737,ATL,1627739,Kris Dunn,kris-dunn,G,6-3,205,27.0,4
1610612742,DAL,1626196,Josh Richardson,josh-richardson,G,6-5,200,27.0,5
1610612742,DAL,1630179,Tyrell Terry,tyrell-terry,G,6-2,160,20.0,R
1610612742,DAL,1630189,Tyler Bey,tyler-bey,F,6-7,215,23.0,R
1610612742,DAL,203504,Trey Burke,trey-burke,G,6-0,185,28.0,7
1610612742,DAL,200755,JJ Redick,jj-redick,G,6-3,200,36.0,14
1610612742,DAL,204001,Kristaps Porzingis,kristaps-porzingis,F-C,7-3,240,25.0,4
1610612742,DAL,203939,Dwight Powell,dwight-powell,F-C,6-10,240,29.0,6
1610612742,DAL,1630182,Josh Green,josh-green,G,6-5,200,20.0,R
1610612742,DAL,1627827,Dorian Finney-Smith,dorian-finney-smith,F,6-7,220,27.0,4
1610612742,DAL,203501,Tim Hardaway Jr.,tim-hardaway-jr,G-F,6-5,205,29.0,7
1610612742,DAL,1628973,Jalen Brunson,jalen-brunson,G,6-1,190,24.0,2
1610612742,DAL,1630207,Nate Hinton,nate-hinton,G-F,6-5,210,21.0,R
1610612742,DAL,1629740,Nicolo Melli,nicolo-melli,F,6-9,236,30.0,1
1610612742,DAL,1626161,Willie Cauley-Stein,willie-cauley-stein,C,7-0,240,27.0,5
1610612742,DAL,1628467,Maxi Kleber,maxi-kleber,F,6-10,240,29.0,3
1610612742,DAL,1626246,Boban Marjanovic,boban-marjanovic,C,7-4,290,32.0,5
1610612742,DAL,1629029,Luka Doncic,luka-doncic,F-G,6-7,230,22.0,2
1610612756,PHX,1630234,Ty-Shon Alexander,ty-shon-alexander,G,6-3,195,22.0,R
1610612756,PHX,1626164,Devin Booker,devin-booker,G,6-5,206,24.0,5
1610612756,PHX,204038,Langston Galloway,langston-galloway,G,6-1,200,29.0,6
1610612756,PHX,101108,Chris Paul,chris-paul,G,6-0,175,35.0,15
1610612756,PHX,1628975,Jevon Carter,jevon-carter,G,6-1,200,25.0,2
1610612756,PHX,1626163,Frank Kaminsky,frank-kaminsky,F-C,7-0,240,27.0,5
1610612756,PHX,1630188,Jalen Smith,jalen-smith,F-C,6-10,215,21.0,R
1610612756,PHX,1627846,Abdel Nader,abdel-nader,F,6-5,225,27.0,3
1610612756,PHX,1628470,Torrey Craig,torrey-craig,F,6-7,221,30.0,3
1610612756,PHX,1626166,Cameron Payne,cameron-payne,G,6-1,183,26.0,5
1610612756,PHX,203967,Dario Saric,dario-saric,F-C,6-10,225,26.0,4
1610612756,PHX,1629028,Deandre Ayton,deandre-ayton,C,6-11,250,22.0,2
1610612756,PHX,1629661,Cameron Johnson,cameron-johnson,F,6-8,210,25.0,1
1610612756,PHX,1628969,Mikal Bridges,mikal-bridges,F,6-6,209,24.0,2
1610612756,PHX,202734,E'Twaun Moore,etwaun-moore,G,6-3,191,32.0,9
1610612756,PHX,203109,Jae Crowder,jae-crowder,F,6-6,235,30.0,8
1610612757,POR,203081,Damian Lillard,damian-lillard,G,6-2,195,30.0,8
1610612757,POR,2546,Carmelo Anthony,carmelo-anthony,F,6-7,238,36.0,17
1610612757,POR,1629014,Anfernee Simons,anfernee-simons,G,6-3,181,21.0,2
1610612757,POR,203468,CJ McCollum,cj-mccollum,G,6-3,190,29.0,7
1610612757,POR,1628385,Harry Giles III,harry-giles-iii,F-C,6-11,240,22.0,2
1610612757,POR,1627884,Derrick Jones Jr.,derrick-jones-jr,F,6-5,210,24.0,4
1610612757,POR,1629642,Nassir Little,nassir-little,F-G,6-5,220,21.0,1
1610612757,POR,202683,Enes Kanter,enes-kanter,C,6-10,250,28.0,9
1610612757,POR,1629604,CJ Elleby,cj-elleby,F-G,6-6,200,20.0,R
1610612757,POR,1629833,Keljin Blevins,keljin-blevins,G,6-4,200,25.0,R
1610612757,POR,203496,Robert Covington,robert-covington,F,6-7,209,30.0,7
1610612757,POR,1626181,Norman Powell,norman-powell,G,6-3,215,27.0,5
1610612757,POR,203994,Jusuf Nurkic,jusuf-nurkic,C,6-11,290,26.0,6
1610612757,POR,1628380,Zach Collins,zach-collins,F-C,6-11,250,23.0,3
1610612743,DEN,1630210,Markus Howard,markus-howard,G,5-10,175,22.0,R
1610612743,DEN,203210,JaMychal Green,jamychal-green,F-C,6-8,227,30.0,6
1610612743,DEN,203932,Aaron Gordon,aaron-gordon,F,6-8,235,25.0,6
1610612743,DEN,1629008,Michael Porter Jr.,michael-porter-jr,F,6-10,218,22.0,1
1610612743,DEN,204222,Greg Whittington,greg-whittington,F,6-8,210,28.0,R
1610612743,DEN,200794,Paul Millsap,paul-millsap,F,6-7,257,36.0,14
1610612743,DEN,203115,Will Barton,will-barton,G,6-6,181,30.0,8
1610612743,DEN,201580,JaVale McGee,javale-mcgee,C-F,7-0,270,33.0,12
1610612743,DEN,1630267,Facundo Campazzo,facundo-campazzo,G,5-10,195,30.0,R
1610612743,DEN,1629626,Bol Bol,bol-bol,C-F,7-2,220,21.0,1
1610612743,DEN,1628420,Monte Morris,monte-morris,G,6-2,183,25.0,3
1610612743,DEN,1629109,Gary Clark,gary-clark,F,6-6,225,26.0,2
1610612743,DEN,203999,Nikola Jokic,nikola-jokic,C,6-11,284,26.0,5
1610612743,DEN,1630192,Zeke Nnaji,zeke-nnaji,F-C,6-9,240,20.0,R
1610612743,DEN,1627750,Jamal Murray,jamal-murray,G,6-3,215,24.0,4
1610612743,DEN,1628427,Vlatko Cancar,vlatko-cancar,F,6-8,236,23.0,1
1610612743,DEN,1628408,PJ Dozier,pj-dozier,G-F,6-6,205,24.0,3
1610612755,PHI,1630178,Tyrese Maxey,tyrese-maxey,G,6-2,200,20.0,R
1610612755,PHI,203118,Mike Scott,mike-scott,F,6-7,237,32.0,8
1610612755,PHI,1630198,Isaiah Joe,isaiah-joe,G,6-4,165,21.0,R
1610612755,PHI,1630222,Mason Jones,mason-jones,G,6-4,200,22.0,R
1610612755,PHI,1629730,Rayjon Tucker,rayjon-tucker,G,6-3,209,23.0,1
1610612755,PHI,202699,Tobias Harris,tobias-harris,F,6-8,226,28.0,9
1610612755,PHI,201980,Danny Green,danny-green,G,6-6,215,33.0,11
1610612755,PHI,1629649,Ignas Brazdeikis,ignas-brazdeikis,F,6-6,221,22.0,1
1610612755,PHI,1629003,Shake Milton,shake-milton,G-F,6-5,205,24.0,2
1610612755,PHI,203954,Joel Embiid,joel-embiid,C-F,7-0,280,27.0,4
1610612755,PHI,1629680,Matisse Thybulle,matisse-thybulle,G-F,6-5,201,24.0,1
1610612755,PHI,1627732,Ben Simmons,ben-simmons,G-F,6-11,240,24.0,3
1610612755,PHI,1627788,Furkan Korkmaz,furkan-korkmaz,G-F,6-7,202,23.0,3
1610612755,PHI,203552,Seth Curry,seth-curry,G,6-2,185,30.0,6
1610612755,PHI,201588,George Hill,george-hill,G,6-4,188,34.0,12
1610612755,PHI,2730,Dwight Howard,dwight-howard,C-F,6-10,265,35.0,16
1610612755,PHI,1630194,Paul Reed,paul-reed,F,6-9,210,21.0,R
1610612741,CHI,1629632,Coby White,coby-white,G,6-5,195,21.0,1
1610612741,CHI,1629653,Devon Dotson,devon-dotson,G,6-2,185,21.0,R
1610612741,CHI,202329,Al-Farouq Aminu,al-farouq-aminu,F,6-8,220,30.0,10
1610612741,CHI,1626245,Cristiano Felicio,cristiano-felicio,F-C,6-11,270,28.0,5
1610612741,CHI,1628972,Troy Brown Jr.,troy-brown-jr,G-F,6-6,215,21.0,2
1610612741,CHI,203897,Zach LaVine,zach-lavine,G-F,6-5,200,26.0,6
1610612741,CHI,202696,Nikola Vucevic,nikola-vucevic,C,6-11,260,30.0,9
1610612741,CHI,1629750,Javonte Green,javonte-green,G-F,6-4,205,27.0,1
1610612741,CHI,202066,Garrett Temple,garrett-temple,G-F,6-5,195,34.0,10
1610612741,CHI,1629690,Adam Mokoka,adam-mokoka,G,6-4,190,22.0,1
1610612741,CHI,201152,Thaddeus Young,thaddeus-young,F,6-8,235,32.0,13
1610612741,CHI,1628374,Lauri Markkanen,lauri-markkanen,F-C,7-0,240,23.0,3
1610612741,CHI,1628464,Daniel Theis,daniel-theis,F-C,6-8,245,28.0,3
1610612741,CHI,203107,Tomas Satoransky,tomas-satoransky,G,6-7,210,29.0,4
1610612741,CHI,1630172,Patrick Williams,patrick-williams,F,6-7,215,19.0,R
1610612741,CHI,1627756,Denzel Valentine,denzel-valentine,G,6-4,220,27.0,3
1610612741,CHI,1627853,Ryan Arcidiacono,ryan-arcidiacono,G,6-3,195,27.0,3
1610612740,NOP,1629627,Zion Williamson,zion-williamson,F,6-7,284,20.0,1
1610612740,NOP,1628366,Lonzo Ball,lonzo-ball,G,6-6,190,23.0,3
1610612740,NOP,1628404,Josh Hart,josh-hart,G,6-5,215,26.0,3
1610612740,NOP,202339,Eric Bledsoe,eric-bledsoe,G,6-1,214,31.0,10
1610612740,NOP,1629638,Nickeil Alexander-Walker,nickeil-alexander-walker,G,6-6,205,22.0,1
