TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
BOS,is-visit,BOSBKN,is-confirmed,Very Likely To Play,Marcus Smart,Marcus Smart,PG,2021-06-01 19:45:05.291154
BOS,is-visit,BOSBKN,is-confirmed,Very Likely To Play,Romeo Langford,R. Langford,SG,2021-06-01 19:45:05.291154
BOS,is-visit,BOSBKN,is-confirmed,Very Likely To Play,Evan Fournier,Evan Fournier,SF,2021-06-01 19:45:05.291154
BOS,is-visit,BOSBKN,is-confirmed,Very Likely To Play,Jayson Tatum,Jayson Tatum,PF,2021-06-01 19:45:05.291154
BOS,is-visit,BOSBKN,is-confirmed,Very Likely To Play,Tristan Thompson,T. Thompson,C,2021-06-01 19:45:05.291154
BOS,is-visit,BOSBKN,,Very Unlikely To Play,Kemba Walker,K. Walker,G,2021-06-01 19:45:05.291154
BOS,is-visit,BOSBKN,,Very Unlikely To Play,Robert Williams,R. Williams,C,2021-06-01 19:45:05.291154
BKN,is-home,BOSBKN,is-confirmed,Very Likely To Play,James Harden,James Harden,PG,2021-06-01 19:45:05.291154
BKN,is-home,BOSBKN,is-confirmed,Very Likely To Play,Kyrie Irving,Kyrie Irving,SG,2021-06-01 19:45:05.291154
BKN,is-home,BOSBKN,is-confirmed,Very Likely To Play,Joe Harris,Joe Harris,SF,2021-06-01 19:45:05.291154
BKN,is-home,BOSBKN,is-confirmed,Very Likely To Play,Kevin Durant,Kevin Durant,PF,2021-06-01 19:45:05.291154
BKN,is-home,BOSBKN,is-confirmed,Very Likely To Play,Blake Griffin,Blake Griffin,C,2021-06-01 19:45:05.291154
BKN,is-home,BOSBKN,,Very Unlikely To Play,Jeff Green,Jeff Green,F,2021-06-01 19:45:05.291154
BKN,is-home,BOSBKN,,Very Unlikely To Play,Alize Johnson,A. Johnson,F,2021-06-01 19:45:05.291154
POR,is-visit,PORDEN,is-expected,Very Likely To Play,Damian Lillard,D. Lillard,PG,2021-06-01 19:45:05.291154
POR,is-visit,PORDEN,is-expected,Very Likely To Play,CJ McCollum,CJ McCollum,SG,2021-06-01 19:45:05.291154
POR,is-visit,PORDEN,is-expected,Very Likely To Play,Norman Powell,Norman Powell,SF,2021-06-01 19:45:05.291154
POR,is-visit,PORDEN,is-expected,Very Likely To Play,Robert Covington,R. Covington,PF,2021-06-01 19:45:05.291154
POR,is-visit,PORDEN,is-expected,Very Likely To Play,Jusuf Nurkic,Jusuf Nurkic,C,2021-06-01 19:45:05.291154
POR,is-visit,PORDEN,,Very Unlikely To Play,Zach Collins,Z. Collins,C,2021-06-01 19:45:05.291154
DEN,is-home,PORDEN,is-confirmed,Very Likely To Play,Facundo Campazzo,F. Campazzo,PG,2021-06-01 19:45:05.291154
DEN,is-home,PORDEN,is-confirmed,Very Likely To Play,Austin Rivers,Austin Rivers,SG,2021-06-01 19:45:05.291154
DEN,is-home,PORDEN,is-confirmed,Very Likely To Play,Michael Porter,M. Porter,SF,2021-06-01 19:45:05.291154
DEN,is-home,PORDEN,is-confirmed,Very Likely To Play,Aaron Gordon,Aaron Gordon,PF,2021-06-01 19:45:05.291154
DEN,is-home,PORDEN,is-confirmed,Very Likely To Play,Nikola Jokic,Nikola Jokic,C,2021-06-01 19:45:05.291154
DEN,is-home,PORDEN,,Very Unlikely To Play,Will Barton,W. Barton,F,2021-06-01 19:45:05.291154
DEN,is-home,PORDEN,,Very Unlikely To Play,PJ Dozier,PJ Dozier,G,2021-06-01 19:45:05.291154
LAL,is-visit,LALPHO,is-expected,Very Likely To Play,Dennis Schroder,D. Schroder,PG,2021-06-01 19:45:05.291154
LAL,is-visit,LALPHO,is-expected,Very Likely To Play,Kentavious Caldwell-Pope,K. Caldwell-Pope,SG,2021-06-01 19:45:05.291154
LAL,is-visit,LALPHO,is-expected,Very Likely To Play,Kyle Kuzma,Kyle Kuzma,SF,2021-06-01 19:45:05.291154
LAL,is-visit,LALPHO,is-expected,Very Likely To Play,LeBron James,LeBron James,PF,2021-06-01 19:45:05.291154
LAL,is-visit,LALPHO,is-expected,Very Likely To Play,Andre Drummond,A. Drummond,C,2021-06-01 19:45:05.291154
LAL,is-visit,LALPHO,,Toss Up To Play,Anthony Davis,A. Davis,F,2021-06-01 19:45:05.291154
PHX,is-home,LALPHO,is-expected,Very Likely To Play,Chris Paul,Chris Paul,PG,2021-06-01 19:45:05.291154
PHX,is-home,LALPHO,is-expected,Very Likely To Play,Devin Booker,Devin Booker,SG,2021-06-01 19:45:05.291154
PHX,is-home,LALPHO,is-expected,Very Likely To Play,Mikal Bridges,Mikal Bridges,SF,2021-06-01 19:45:05.291154
PHX,is-home,LALPHO,is-expected,Very Likely To Play,Jae Crowder,Jae Crowder,PF,2021-06-01 19:45:05.291154
PHX,is-home,LALPHO,is-expected,Very Likely To Play,Deandre Ayton,Deandre Ayton,C,2021-06-01 19:45:05.291154
PHX,is-home,LALPHO,,Very Unlikely To Play,Abdel Nader,A. Nader,F,2021-06-01 19:45:05.291154
