TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
CHI,is-visit,CHIATL,,Very Likely To Play,Garrett Temple,G. Temple,G,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,is-expected,Very Likely To Play,Trae Young,Trae Young,PG,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,is-expected,Very Likely To Play,Bogdan Bogdanovic,B. Bogdanovic,SG,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,is-expected,Very Likely To Play,Kevin Huerter,Kevin Huerter,SF,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,is-expected,Very Likely To Play,Solomon Hill,Solomon Hill,PF,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,is-expected,Toss Up To Play,Clint Capela,C. Capela,C,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,,Toss Up To Play,Clint Capela,C. Capela,C,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,,Toss Up To Play,Danilo Gallinari,D. Gallinari,F,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,,Very Unlikely To Play,John Collins,J. Collins,F,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,,Very Unlikely To Play,Kris Dunn,Kris Dunn,G,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,,Very Unlikely To Play,De'Andre Hunter,D. Hunter,F,2021-04-09 10:03:27.857055
ATL,is-home,CHIATL,,Very Unlikely To Play,Cam Reddish,C. Reddish,F,2021-04-09 10:03:27.857055
PHI,is-visit,PHINO,is-expected,Very Likely To Play,Ben Simmons,Ben Simmons,PG,2021-04-09 10:03:27.857055
PHI,is-visit,PHINO,is-expected,Very Likely To Play,Seth Curry,Seth Curry,SG,2021-04-09 10:03:27.857055
PHI,is-visit,PHINO,is-expected,Very Likely To Play,Danny Green,Danny Green,SF,2021-04-09 10:03:27.857055
PHI,is-visit,PHINO,is-expected,Very Likely To Play,Tobias Harris,Tobias Harris,PF,2021-04-09 10:03:27.857055
PHI,is-visit,PHINO,is-expected,Very Likely To Play,Joel Embiid,Joel Embiid,C,2021-04-09 10:03:27.857055
PHI,is-visit,PHINO,,Very Unlikely To Play,Mason Jones,M. Jones,G,2021-04-09 10:03:27.857055
PHI,is-visit,PHINO,,Very Unlikely To Play,George Hill,G. Hill,G,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,is-expected,Toss Up To Play,Lonzo Ball,Lonzo Ball,PG,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,is-expected,Very Likely To Play,Eric Bledsoe,Eric Bledsoe,SG,2021-04-09 10:03:27.857055
NOP,is-home,PHINO,is-expected,Very Likely To Play,James Johnson,James Johnson,SF,2021-04-09 10:03:27.857055
