GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0052000201,1610612754,IND,Indiana,203926,Doug McDermott,F,,24:11,5.0,12.0,0.417,3.0,7.0,0.429,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,13.0,-14.0
0052000201,1610612754,IND,Indiana,1629052,Oshae Brissett,F,,29:16,4.0,10.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,10.0,-17.0
0052000201,1610612754,IND,Indiana,1627734,Domantas Sabonis,C,,32:14,8.0,15.0,0.533,1.0,2.0,0.5,2.0,4.0,0.5,3.0,8.0,11.0,10.0,2.0,0.0,5.0,6.0,19.0,-18.0
0052000201,1610612754,IND,Indiana,203200,Justin Holiday,G,,25:22,3.0,10.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,6.0,-14.0
0052000201,1610612754,IND,Indiana,1627763,Malcolm Brogdon,G,,28:57,9.0,23.0,0.391,4.0,9.0,0.444,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0,24.0,-25.0
0052000201,1610612754,IND,Indiana,204456,T.J. McConnell,,,22:11,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,0.0,2.0,1.0,4.0,-23.0
0052000201,1610612754,IND,Indiana,1628410,Edmond Sumner,,,13:28,1.0,2.0,0.5,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,5.0,-17.0
0052000201,1610612754,IND,Indiana,1629103,Kelan Martin,,,22:38,5.0,14.0,0.357,3.0,8.0,0.375,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,2.0,13.0,-13.0
0052000201,1610612754,IND,Indiana,1628988,Aaron Holiday,,,12:04,2.0,4.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,7.0,3.0
0052000201,1610612754,IND,Indiana,1629048,Goga Bitadze,,,16:49,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,-13.0
0052000201,1610612754,IND,Indiana,1630199,Cassius Stanley,,,8:07,2.0,3.0,0.667,1.0,2.0,0.5,6.0,6.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,11.0,8.0
0052000201,1610612754,IND,Indiana,1628578,Amida Brimah,,,4:43,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0
0052000201,1610612754,IND,Indiana,203960,JaKarr Sampson,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0052000201,1610612764,WAS,Washington,203526,Raul Neto,F,,25:41,5.0,8.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,14.0,17.0
0052000201,1610612764,WAS,Washington,1629060,Rui Hachimura,F,,25:23,6.0,8.0,0.75,2.0,3.0,0.667,4.0,4.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,18.0,14.0
0052000201,1610612764,WAS,Washington,203458,Alex Len,C,,13:13,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,1.0,1.0,4.0,11.0
0052000201,1610612764,WAS,Washington,203078,Bradley Beal,G,,28:24,9.0,17.0,0.529,4.0,7.0,0.571,3.0,3.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,4.0,0.0,25.0,18.0
0052000201,1610612764,WAS,Washington,201566,Russell Westbrook,G,,33:12,6.0,13.0,0.462,0.0,1.0,0.0,6.0,9.0,0.667,1.0,7.0,8.0,15.0,1.0,0.0,3.0,2.0,18.0,30.0
0052000201,1610612764,WAS,Washington,1629655,Daniel Gafford,,,22:02,6.0,8.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,2.0,11.0,13.0,0.0,1.0,5.0,2.0,2.0,15.0,17.0
0052000201,1610612764,WAS,Washington,202397,Ish Smith,,,22:00,4.0,7.0,0.571,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,6.0,1.0,0.0,2.0,2.0,8.0,26.0
0052000201,1610612764,WAS,Washington,202722,Davis Bertans,,,18:38,3.0,7.0,0.429,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,19.0
0052000201,1610612764,WAS,Washington,1628990,Chandler Hutchison,,,19:55,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,6.0,8.0
0052000201,1610612764,WAS,Washington,201577,Robin Lopez,,,6:18,4.0,5.0,0.8,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,9.0,7.0
