GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022000635,1610612765,DET,Detroit,1630180,Saddiq Bey,F,,32:05,6.0,15.0,0.4,2.0,9.0,0.222,6.0,6.0,1.0,1.0,5.0,6.0,2.0,2.0,0.0,1.0,2.0,20.0,5.0
0022000635,1610612765,DET,Detroit,203924,Jerami Grant,F,,30:09,5.0,21.0,0.238,3.0,7.0,0.429,5.0,5.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,0.0,18.0,10.0
0022000635,1610612765,DET,Detroit,203486,Mason Plumlee,C,,21:31,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,5.0,11.0,16.0,1.0,0.0,1.0,1.0,3.0,6.0,16.0
0022000635,1610612765,DET,Detroit,1626153,Delon Wright,G,,28:01,1.0,6.0,0.167,0.0,1.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,8.0,2.0,1.0,0.0,1.0,6.0,14.0
0022000635,1610612765,DET,Detroit,1628402,Frank Jackson,G,,25:38,7.0,10.0,0.7,5.0,5.0,1.0,4.0,5.0,0.8,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,23.0,15.0
0022000635,1610612765,DET,Detroit,1628367,Josh Jackson,,,28:28,7.0,12.0,0.583,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,15.0,7.0
0022000635,1610612765,DET,Detroit,1630191,Isaiah Stewart,,,25:29,5.0,10.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,3.0,6.0,9.0,2.0,1.0,0.0,2.0,3.0,13.0,-3.0
0022000635,1610612765,DET,Detroit,1628372,Dennis Smith Jr.,,,18:59,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,5.0,-1.0
0022000635,1610612765,DET,Detroit,1630240,Saben Lee,,,12:13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,-1.0
0022000635,1610612765,DET,Detroit,1629635,Sekou Doumbouya,,,7:21,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0
0022000635,1610612765,DET,Detroit,1629076,Tyler Cook,,,9:06,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
0022000635,1610612765,DET,Detroit,1629686,Deividas Sirvydis,,,1:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000635,1610612745,HOU,Houston,1627863,Danuel House Jr.,F,,34:25,4.0,10.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,10.0,-11.0
0022000635,1610612745,HOU,Houston,1630256,Jae'Sean Tate,F,,32:14,5.0,8.0,0.625,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,0.0,2.0,12.0,-3.0
