,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0021900080,1610612750,MIN,Minnesota,1626203,Treveon Graham,F,,14:16,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,5.0,4.0,7.0
1,0021900080,1610612750,MIN,Minnesota,203496,Robert Covington,F,,19:42,7.0,10.0,0.7,3.0,5.0,0.6,3.0,3.0,1.0,0.0,4.0,4.0,1.0,0.0,2.0,0.0,2.0,20.0,19.0
2,0021900080,1610612750,MIN,Minnesota,203476,Gorgui Dieng,C,,23:38,7.0,9.0,0.778,2.0,2.0,1.0,2.0,3.0,0.667,1.0,7.0,8.0,1.0,2.0,3.0,2.0,2.0,18.0,21.0
3,0021900080,1610612750,MIN,Minnesota,203952,Andrew Wiggins,G,,26:25,7.0,16.0,0.438,4.0,9.0,0.444,3.0,4.0,0.75,0.0,5.0,5.0,6.0,0.0,1.0,1.0,0.0,21.0,19.0
4,0021900080,1610612750,MIN,Minnesota,201952,Jeff Teague,G,,27:37,6.0,12.0,0.5,2.0,5.0,0.4,1.0,1.0,1.0,0.0,4.0,4.0,13.0,3.0,0.0,4.0,1.0,15.0,32.0
5,0021900080,1610612750,MIN,Minnesota,1629006,Josh Okogie,,,29:08,4.0,6.0,0.667,0.0,2.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,4.0,2.0,0.0,2.0,3.0,9.0,4.0
6,0021900080,1610612750,MIN,Minnesota,203943,Noah Vonleh,,,13:07,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,3.0,6.0,19.0
7,0021900080,1610612750,MIN,Minnesota,1627774,Jake Layman,,,26:30,5.0,10.0,0.5,2.0,3.0,0.667,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,14.0,15.0
8,0021900080,1610612750,MIN,Minnesota,203894,Shabazz Napier,,,22:11,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,-7.0
9,0021900080,1610612750,MIN,Minnesota,1629633,Jarrett Culver,,,26:11,8.0,17.0,0.471,4.0,9.0,0.444,0.0,2.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,6.0,4.0,20.0,-1.0
10,0021900080,1610612750,MIN,Minnesota,1628395,Jordan Bell,,,11:15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,4.0,1.0,2.0,-18.0
11,0021900080,1610612750,MIN,Minnesota,1626157,Karl-Anthony Towns,,NWT_LEAGUE_SUSPENSION                   ,,,,,,,,,,,,,,,,,,,,
12,0021900080,1610612764,WAS,Washington,1629067,Isaac Bonga,F,,18:05,0.0,5.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,3.0,-5.0
13,0021900080,1610612764,WAS,Washington,1629060,Rui Hachimura,F,,22:29,2.0,11.0,0.182,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,-28.0
14,0021900080,1610612764,WAS,Washington,1628418,Thomas Bryant,C,,19:47,1.0,6.0,0.167,0.0,2.0,0.0,1.0,2.0,0.5,1.0,9.0,10.0,2.0,2.0,1.0,1.0,3.0,3.0,-27.0
15,0021900080,1610612764,WAS,Washington,203078,Bradley Beal,G,,27:53,8.0,19.0,0.421,3.0,8.0,0.375,11.0,13.0,0.846,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,30.0,-41.0
16,0021900080,1610612764,WAS,Washington,202397,Ish Smith,G,,31:17,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,2.0,7.0,-1.0
17,0021900080,1610612764,WAS,Washington,1628972,Troy Brown Jr.,,,21:49,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,3.0,1.0,0.0,1.0,4.0,-8.0
18,0021900080,1610612764,WAS,Washington,1629021,Moritz Wagner,,,28:13,6.0,9.0,0.667,0.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,0.0,2.0,0.0,2.0,4.0,14.0,5.0
19,0021900080,1610612764,WAS,Washington,202738,Isaiah Thomas,,,19:27,6.0,14.0,0.429,2.0,6.0,0.333,2.0,2.0,1.0,0.0,4.0,4.0,7.0,0.0,1.0,3.0,0.0,16.0,-14.0
20,0021900080,1610612764,WAS,Washington,202722,Davis Bertans,,,27:07,2.0,10.0,0.2,2.0,7.0,0.286,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,8.0,-11.0
21,0021900080,1610612764,WAS,Washington,1629678,Admiral Schofield,,,14:48,5.0,5.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,10.0
22,0021900080,1610612764,WAS,Washington,1629620,Justin Robinson,,,9:05,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,5.0,10.0
