GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042000222,1610612746,LAC,LA,202695,Kawhi Leonard,Kawhi,F,,38:41,8.0,17.0,0.471,2.0,4.0,0.5,3.0,4.0,0.75,2.0,2.0,4.0,5.0,2.0,0.0,3.0,4.0,21.0,-8.0
0042000222,1610612746,LAC,LA,202694,Marcus Morris Sr.,Marcus,F,,37:07,4.0,11.0,0.364,0.0,5.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,3.0,0.0,1.0,0.0,1.0,8.0,-8.0
0042000222,1610612746,LAC,LA,1627826,Ivica Zubac,Ivica,C,,13:49,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,1.0
0042000222,1610612746,LAC,LA,202331,Paul George,Paul,G,,43:36,8.0,18.0,0.444,2.0,6.0,0.333,9.0,9.0,1.0,1.0,9.0,10.0,6.0,0.0,0.0,4.0,5.0,27.0,-12.0
0042000222,1610612746,LAC,LA,202704,Reggie Jackson,Reggie,G,,36:08,11.0,19.0,0.579,4.0,8.0,0.5,3.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,29.0,-4.0
0042000222,1610612746,LAC,LA,201587,Nicolas Batum,Nicolas,,,27:29,2.0,4.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,0.0,3.0,3.0,2.0,2.0,1.0,0.0,2.0,7.0,7.0
0042000222,1610612746,LAC,LA,201976,Patrick Beverley,Patrick,,,20:52,0.0,5.0,0.0,0.0,2.0,0.0,3.0,4.0,0.75,2.0,1.0,3.0,1.0,2.0,0.0,0.0,4.0,3.0,-6.0
0042000222,1610612746,LAC,LA,202326,DeMarcus Cousins,DeMarcus,,,11:10,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,6.0,-2.0
0042000222,1610612746,LAC,LA,1628379,Luke Kennard,Luke,,,10:01,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,-1.0
0042000222,1610612746,LAC,LA,1629611,Terance Mann,Terance,,,1:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
