TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
ORL,is-visit,ORLCLE,is-confirmed,Very Likely To Play,Cole Anthony,Cole Anthony,PG,2021-04-28 19:45:04.402717
ORL,is-visit,ORLCLE,is-confirmed,Very Likely To Play,Gary Harris,Gary Harris,SG,2021-04-28 19:45:04.402717
ORL,is-visit,ORLCLE,is-confirmed,Very Likely To Play,James Ennis,James Ennis,SF,2021-04-28 19:45:04.402717
ORL,is-visit,ORLCLE,is-confirmed,Very Likely To Play,Chuma Okeke,Chuma Okeke,PF,2021-04-28 19:45:04.402717
ORL,is-visit,ORLCLE,is-confirmed,Very Likely To Play,Wendell Carter,W. Carter,C,2021-04-28 19:45:04.402717
ORL,is-visit,ORLCLE,,Very Unlikely To Play,Michael Carter-Williams,M. Carter-Williams,G,2021-04-28 19:45:04.402717
ORL,is-visit,ORLCLE,,Very Unlikely To Play,Otto Porter,O. Porter,F,2021-04-28 19:45:04.402717
ORL,is-visit,ORLCLE,,Very Unlikely To Play,Terrence Ross,T. Ross,F,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,is-confirmed,Very Likely To Play,Darius Garland,D. Garland,PG,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,is-confirmed,Very Likely To Play,Isaac Okoro,Isaac Okoro,SG,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,is-confirmed,Very Likely To Play,Cedi Osman,Cedi Osman,SF,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,is-confirmed,Very Likely To Play,Kevin Love,Kevin Love,PF,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,is-confirmed,Very Likely To Play,Jarrett Allen,Jarrett Allen,C,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,,Very Unlikely To Play,Matthew Dellavedova,M. Dellavedova,G,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,,Very Unlikely To Play,Isaiah Hartenstein,I. Hartenstein,C,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,,Very Unlikely To Play,Collin Sexton,C. Sexton,G,2021-04-28 19:45:04.402717
CLE,is-home,ORLCLE,,Very Unlikely To Play,Lamar Stevens,L. Stevens,F,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,is-confirmed,Very Likely To Play,Brandon Goodwin,B. Goodwin,PG,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,is-confirmed,Very Likely To Play,Lou Williams,Lou Williams,SG,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,is-confirmed,Very Likely To Play,Solomon Hill,Solomon Hill,SF,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,is-confirmed,Very Likely To Play,John Collins,John Collins,PF,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,is-confirmed,Very Likely To Play,Clint Capela,Clint Capela,C,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,,Very Unlikely To Play,Bogdan Bogdanovic,B. Bogdanovic,G,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,,Very Unlikely To Play,Kevin Huerter,K. Huerter,G,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,,Very Unlikely To Play,De'Andre Hunter,D. Hunter,F,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,,Very Unlikely To Play,Cam Reddish,C. Reddish,F,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,,Very Unlikely To Play,Tony Snell,Tony Snell,F,2021-04-28 19:45:04.402717
ATL,is-visit,ATLPHI,,Very Unlikely To Play,Trae Young,Trae Young,G,2021-04-28 19:45:04.402717
PHI,is-home,ATLPHI,is-confirmed,Very Likely To Play,Ben Simmons,Ben Simmons,PG,2021-04-28 19:45:04.402717
PHI,is-home,ATLPHI,is-confirmed,Very Likely To Play,Seth Curry,Seth Curry,SG,2021-04-28 19:45:04.402717
PHI,is-home,ATLPHI,is-confirmed,Very Likely To Play,Danny Green,Danny Green,SF,2021-04-28 19:45:04.402717
PHI,is-home,ATLPHI,is-confirmed,Very Likely To Play,Tobias Harris,Tobias Harris,PF,2021-04-28 19:45:04.402717
PHI,is-home,ATLPHI,is-confirmed,Very Likely To Play,Joel Embiid,Joel Embiid,C,2021-04-28 19:45:04.402717
PHI,is-home,ATLPHI,,Toss Up To Play,Mike Scott,Mike Scott,F,2021-04-28 19:45:04.402717
CHA,is-visit,CHABOS,is-confirmed,Very Likely To Play,Devonte' Graham,D. Graham,PG,2021-04-28 19:45:04.402717
CHA,is-visit,CHABOS,is-confirmed,Very Likely To Play,Terry Rozier,Terry Rozier,SG,2021-04-28 19:45:04.402717
CHA,is-visit,CHABOS,is-confirmed,Very Likely To Play,Cody Martin,Cody Martin,SF,2021-04-28 19:45:04.402717
