TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,LINEUP_DESC,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION,CREATE_DTTM
PHI,is-visit,PHIDAL,is-confirmed,Very Likely To Play,Ben Simmons,Ben Simmons,PG,2021-04-12 18:45:04.520932
PHI,is-visit,PHIDAL,is-confirmed,Very Likely To Play,Seth Curry,Seth Curry,SG,2021-04-12 18:45:04.520932
PHI,is-visit,PHIDAL,is-confirmed,Very Likely To Play,Danny Green,Danny Green,SF,2021-04-12 18:45:04.520932
PHI,is-visit,PHIDAL,is-confirmed,Very Likely To Play,Tobias Harris,Tobias Harris,PF,2021-04-12 18:45:04.520932
PHI,is-visit,PHIDAL,is-confirmed,Very Likely To Play,Joel Embiid,Joel Embiid,C,2021-04-12 18:45:04.520932
PHI,is-visit,PHIDAL,,Very Unlikely To Play,George Hill,G. Hill,G,2021-04-12 18:45:04.520932
PHI,is-visit,PHIDAL,,Very Unlikely To Play,Anthony Tolliver,A. Tolliver,F,2021-04-12 18:45:04.520932
DAL,is-home,PHIDAL,is-confirmed,Very Likely To Play,Luka Doncic,Luka Doncic,PG,2021-04-12 18:45:04.520932
DAL,is-home,PHIDAL,is-confirmed,Very Likely To Play,Jalen Brunson,Jalen Brunson,SG,2021-04-12 18:45:04.520932
DAL,is-home,PHIDAL,is-confirmed,Very Likely To Play,Josh Richardson,J. Richardson,SF,2021-04-12 18:45:04.520932
DAL,is-home,PHIDAL,is-confirmed,Very Likely To Play,Dorian Finney-Smith,D. Finney-Smith,PF,2021-04-12 18:45:04.520932
DAL,is-home,PHIDAL,is-confirmed,Very Likely To Play,Maxi Kleber,Maxi Kleber,C,2021-04-12 18:45:04.520932
DAL,is-home,PHIDAL,,Very Unlikely To Play,Kristaps Porzingis,K. Porzingis,F,2021-04-12 18:45:04.520932
DAL,is-home,PHIDAL,,Very Unlikely To Play,Tyrell Terry,T. Terry,G,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,is-confirmed,Very Likely To Play,Dennis Schroder,D. Schroder,PG,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,is-confirmed,Very Likely To Play,Kentavious Caldwell-Pope,K. Caldwell-Pope,SG,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,is-confirmed,Very Likely To Play,Kyle Kuzma,Kyle Kuzma,SF,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,is-confirmed,Very Likely To Play,Markieff Morris,M. Morris,PF,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,is-confirmed,Very Likely To Play,Andre Drummond,A. Drummond,C,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,,Very Unlikely To Play,Anthony Davis,A. Davis,F,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,,Very Unlikely To Play,Jared Dudley,J. Dudley,F,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,,Very Unlikely To Play,LeBron James,L. James,F,2021-04-12 18:45:04.520932
LAL,is-visit,LALNY,,Very Unlikely To Play,Alfonzo McKinnie,A. McKinnie,F,2021-04-12 18:45:04.520932
NYK,is-home,LALNY,is-confirmed,Very Likely To Play,Elfrid Payton,Elfrid Payton,PG,2021-04-12 18:45:04.520932
NYK,is-home,LALNY,is-confirmed,Very Likely To Play,Reggie Bullock,R. Bullock,SG,2021-04-12 18:45:04.520932
NYK,is-home,LALNY,is-confirmed,Very Likely To Play,RJ Barrett,RJ Barrett,SF,2021-04-12 18:45:04.520932
NYK,is-home,LALNY,is-confirmed,Very Likely To Play,Julius Randle,Julius Randle,PF,2021-04-12 18:45:04.520932
NYK,is-home,LALNY,is-confirmed,Very Likely To Play,Nerlens Noel,Nerlens Noel,C,2021-04-12 18:45:04.520932
NYK,is-home,LALNY,,Very Unlikely To Play,John Henson,J. Henson,C,2021-04-12 18:45:04.520932
NYK,is-home,LALNY,,Very Unlikely To Play,Mitchell Robinson,M. Robinson,C,2021-04-12 18:45:04.520932
