TeamID,SEASON,LeagueID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612743,2020,00,Markus Howard,markus-howard,00,G,5-10,175,"MAR 03, 1999",22.0,R,Marquette,1630210
1610612743,2020,00,JaMychal Green,jamychal-green,0,F-C,6-8,227,"JUN 21, 1990",30.0,6,Alabama,203210
1610612743,2020,00,Aaron Gordon,aaron-gordon,00,F,6-8,235,"SEP 16, 1995",25.0,6,Arizona,203932
1610612743,2020,00,Michael Porter Jr.,michael-porter-jr,1,F,6-10,218,"JUN 29, 1998",22.0,1,Missouri,1629008
1610612743,2020,00,Greg Whittington,greg-whittington,3,F,6-8,210,"FEB 07, 1993",28.0,R,Georgetown,204222
1610612743,2020,00,Paul Millsap,paul-millsap,4,F,6-7,257,"FEB 10, 1985",36.0,14,Louisiana Tech,200794
1610612743,2020,00,Will Barton,will-barton,5,G,6-6,181,"JAN 06, 1991",30.0,8,Memphis,203115
1610612743,2020,00,JaVale McGee,javale-mcgee,6,C-F,7-0,270,"JAN 19, 1988",33.0,12,Nevada-Reno,201580
1610612743,2020,00,Facundo Campazzo,facundo-campazzo,7,G,5-10,195,"MAR 23, 1991",30.0,R,Murcia,1630267
1610612743,2020,00,Bol Bol,bol-bol,10,C-F,7-2,220,"NOV 16, 1999",21.0,1,Oregon,1629626
1610612743,2020,00,Monte Morris,monte-morris,11,G,6-2,183,"JUN 27, 1995",25.0,3,Iowa State,1628420
1610612743,2020,00,Gary Clark,gary-clark,12,F,6-6,225,"NOV 16, 1994",26.0,2,Cincinnati,1629109
1610612743,2020,00,Nikola Jokic,nikola-jokic,15,C,6-11,284,"FEB 19, 1995",26.0,5,Mega Basket,203999
1610612743,2020,00,Zeke Nnaji,zeke-nnaji,22,F-C,6-9,240,"JAN 09, 2001",20.0,R,Arizona,1630192
1610612743,2020,00,Jamal Murray,jamal-murray,27,G,6-3,215,"FEB 23, 1997",24.0,4,Kentucky,1627750
1610612743,2020,00,Vlatko Cancar,vlatko-cancar,31,F,6-8,236,"APR 10, 1997",23.0,1,San Pablo Burgos,1628427
1610612743,2020,00,PJ Dozier,pj-dozier,35,G-F,6-6,205,"OCT 25, 1996",24.0,3,South Carolina,1628408
