TeamID,SEASON,LeagueID,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID
1610612749,2020,00,Donte DiVincenzo,donte-divincenzo,0,G,6-4,203,"JAN 31, 1997",24.0,2,Villanova,1628978
1610612749,2020,00,Rodions Kurucs,rodions-kurucs,00,F,6-9,228,"FEB 05, 1998",23.0,2,FC Barcelona,1629066
1610612749,2020,00,Bryn Forbes,bryn-forbes,7,G,6-2,205,"JUL 23, 1993",27.0,4,Michigan State,1627854
1610612749,2020,00,Bobby Portis,bobby-portis,9,F,6-10,250,"FEB 10, 1995",26.0,5,Arkansas,1626171
1610612749,2020,00,Brook Lopez,brook-lopez,11,C,7-0,282,"APR 01, 1988",32.0,12,Stanford,201572
1610612749,2020,00,Jordan Nwora,jordan-nwora,13,F,6-8,225,"SEP 09, 1998",22.0,R,Louisville,1629670
1610612749,2020,00,Sam Merrill,sam-merrill,15,G,6-4,205,"MAY 15, 1996",24.0,R,Utah State,1630241
1610612749,2020,00,P.J. Tucker,pj-tucker,17,F,6-5,245,"MAY 05, 1985",35.0,9,Texas,200782
1610612749,2020,00,Jrue Holiday,jrue-holiday,21,G,6-3,205,"JUN 12, 1990",30.0,11,UCLA,201950
1610612749,2020,00,Khris Middleton,khris-middleton,22,F,6-7,222,"AUG 12, 1991",29.0,8,Texas A&M,203114
1610612749,2020,00,Pat Connaughton,pat-connaughton,24,G,6-5,209,"JAN 06, 1993",28.0,5,Notre Dame,1626192
1610612749,2020,00,Mamadi Diakite,mamadi-diakite,25,F,6-9,228,"JAN 21, 1997",24.0,R,Virginia,1629603
1610612749,2020,00,Giannis Antetokounmpo,giannis-antetokounmpo,34,F,6-11,242,"DEC 06, 1994",26.0,7,Filathlitikos,203507
1610612749,2020,00,Thanasis Antetokounmpo,thanasis-antetokounmpo,43,F,6-6,219,"JUL 18, 1992",28.0,2,Panathinaikos,203648
1610612749,2020,00,Axel Toupane,axel-toupane,66,G-F,6-7,210,"JUL 23, 1992",28.0,2,,1626253
