GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS
2021-05-07T00:00:00,1,0022001003,1,7:00 pm ET          ,20210507/NOPPHI,1610612755,1610612740,2020,0,     ,,NBCSP+,BSNO                ,Q0       - ,Wells Fargo Center,0
2021-05-07T00:00:00,2,0022000160,1,7:30 pm ET          ,20210507/BOSCHI,1610612741,1610612738,2020,0,     ,ESPN,,NBCSB,Q0       - ESPN,United Center,0
2021-05-07T00:00:00,3,0022001004,1,8:00 pm ET,20210507/ORLCHA,1610612766,1610612753,2020,0,     ,,BSSE-CHA            ,BSFL                ,Q0       - ,Spectrum Center,0
2021-05-07T00:00:00,4,0022001005,1,8:00 pm ET,20210507/MINMIA,1610612748,1610612750,2020,0,     ,,BSSUN               ,BSNX                ,Q0       - ,AmericanAirlines Arena,0
2021-05-07T00:00:00,5,0022001006,1,8:00 pm ET,20210507/HOUMIL,1610612749,1610612745,2020,0,     ,,BSWI+               ,ATTSN-SW-Alt        ,Q0       - ,Fiserv Forum,0
2021-05-07T00:00:00,6,0022001007,1,8:30 pm ET,20210507/CLEDAL,1610612742,1610612739,2020,0,     ,,BSSW-DAL            ,BSOH                ,Q0       - ,American Airlines Center,0
2021-05-07T00:00:00,7,0022001008,1,9:00 pm ET,20210507/DENUTA,1610612762,1610612743,2020,0,     ,,ATTSN-RM,ALT,Q0       - ,Vivint Arena,0
2021-05-07T00:00:00,8,0022001009,1,10:00 pm ET,20210507/NYKPHX,1610612756,1610612752,2020,0,     ,,BSAZ                ,MSG,Q0       - ,Phoenix Suns Arena,0
2021-05-07T00:00:00,9,0022001010,1,10:00 pm ET,20210507/LALPOR,1610612757,1610612747,2020,0,     ,ESPN,NBCSNW,SPECSN,Q0       - ESPN,Moda Center,0
2021-05-07T00:00:00,10,0022001011,1,10:00 pm ET         ,20210507/SASSAC,1610612758,1610612759,2020,0,     ,,NBCSCA,KENS,Q0       - ,Golden 1 Center,0
