GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS
2021-03-29T00:00:00,1,0022000707,1,7:00 pm ET          ,20210329/INDWAS,1610612764,1610612754,2020,0,     ,,NBCSWA,FSIND,Q0       - ,Capital One Arena,0
2021-03-29T00:00:00,2,0022000708,1,7:30 pm ET          ,20210329/NOPBOS,1610612738,1610612740,2020,0,     ,NBA TV,NBCSB,FSNO,Q0       - NBA TV,TD Garden,0
2021-03-29T00:00:00,3,0022000709,1,7:30 pm ET          ,20210329/MINBKN,1610612751,1610612750,2020,0,     ,,YES,FSNTH,Q0       - ,Barclays Center,0
2021-03-29T00:00:00,4,0022000710,1,7:30 pm ET          ,20210329/MIANYK,1610612752,1610612748,2020,0,     ,,MSG,FSSUN,Q0       - ,Madison Square Garden,0
2021-03-29T00:00:00,5,0022000711,1,8:00 pm ET          ,20210329/TORDET,1610612765,1610612761,2020,0,     ,,FSD,SN,Q0       - ,Little Caesars Arena,0
2021-03-29T00:00:00,6,0022000712,1,8:00 pm ET          ,20210329/MEMHOU,1610612745,1610612763,2020,0,     ,,ATTSN-SW,FSSE-MEM,Q0       - ,Toyota Center,0
2021-03-29T00:00:00,7,0022000713,1,8:00 pm ET          ,20210329/DALOKC,1610612760,1610612742,2020,0,     ,,FSOK,FSSW-DAL,Q0       - ,Chesapeake Energy Arena,0
2021-03-29T00:00:00,8,0022000714,1,8:30 pm ET,20210329/SACSAS,1610612759,1610612758,2020,0,     ,,FSSW-SA,NBCSCA,Q0       - ,AT&T Center,0
2021-03-29T00:00:00,9,0022000715,1,9:00 pm ET,20210329/CLEUTA,1610612762,1610612739,2020,0,     ,,ATTSN-RM,FSO,Q0       - ,Vivint Arena,0
2021-03-29T00:00:00,10,0022000716,1,10:00 pm ET         ,20210329/CHIGSW,1610612744,1610612741,2020,0,     ,,NBCSBA,NBCSCH,Q0       - ,Chase Center,0
2021-03-29T00:00:00,11,0022000717,1,10:00 pm ET         ,20210329/MILLAC,1610612746,1610612749,2020,0,     ,NBA TV,FSPT,FSWIS,Q0       - NBA TV,STAPLES Center,0
