,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
252,0021700277,345,2,6,3,8:23 PM,9:13,MISS Walker 3' Driving Layup,,,,,4.0,202689,Kemba Walker,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,1
253,0021700277,346,4,0,3,8:23 PM,9:12,Howard REBOUND (Off:4 Def:5),,,,,4.0,2730,Dwight Howard,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,1
254,0021700277,347,6,2,3,8:23 PM,9:12,,,Aldridge S.FOUL (P2.T3) (M.Kogut),,,5.0,200746,LaMarcus Aldridge,1610612759.0,San Antonio,Spurs,SAS,4,2730,Dwight Howard,1610612766.0,Charlotte,Hornets,CHA,1,0,,,,,,1
255,0021700277,349,3,11,3,8:24 PM,9:12,Howard Free Throw 1 of 2 (9 PTS),,,50 - 39,-11,4.0,2730,Dwight Howard,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,0
256,0021700277,350,3,12,3,8:24 PM,9:12,Howard Free Throw 2 of 2 (10 PTS),,,50 - 40,-10,4.0,2730,Dwight Howard,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0,0,,,,,,0
257,0021700277,352,5,45,3,8:25 PM,8:57,,,Mills Out of Bounds - Bad Pass Turnover Turnover (P1.T3),,,5.0,201988,Patty Mills,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,1,0,,,,,,1
258,0021700277,353,9,1,3,8:25 PM,8:57,HORNETS Timeout: Regular (Full 4 Short 0),,,,,2.0,1610612766,,,,,,0,0,,,,,,0,0,,,,,,0
259,0021700277,354,8,0,3,8:26 PM,8:57,SUB: Carter-Williams FOR Walker,,,,,4.0,202689,Kemba Walker,1610612766.0,Charlotte,Hornets,CHA,4,203487,Michael Carter-Williams,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,0
260,0021700277,356,1,1,3,8:28 PM,8:44,Batum 20' Jump Shot (3 PTS) (Carter-Williams 1 AST),,,50 - 42,-8,4.0,201587,Nicolas Batum,1610612766.0,Charlotte,Hornets,CHA,4,203487,Michael Carter-Williams,1610612766.0,Charlotte,Hornets,CHA,0,0,,,,,,1
261,0021700277,358,1,63,3,8:28 PM,8:23,,,Gasol 7' Fadeaway Jumper (13 PTS),52 - 42,-10,5.0,2200,Pau Gasol,1610612759.0,San Antonio,Spurs,SAS,0,0,,,,,,0,0,,,,,,1
