player_id,name,position,team_id,team_name,abbrev
435559,Kurt Suzuki,C,108,Los Angeles Angels,LAA
448855,Junior Guerra,P,108,Los Angeles Angels,LAA
453265,Tony Watson,P,108,Los Angeles Angels,LAA
500779,Jose Quintana,P,108,Los Angeles Angels,LAA
501571,Juan Lagares,CF,108,Los Angeles Angels,LAA
502171,Alex Cobb,P,108,Los Angeles Angels,LAA
518553,Steve Cishek,P,108,Los Angeles Angels,LAA
543685,Anthony Rendon,3B,108,Los Angeles Angels,LAA
545358,Max Stassi,C,108,Los Angeles Angels,LAA
571760,Andrew Heaney,P,108,Los Angeles Angels,LAA
578428,Jose Iglesias,SS,108,Los Angeles Angels,LAA
592222,Alex Claudio,P,108,Los Angeles Angels,LAA
594577,Mike Mayers,P,108,Los Angeles Angels,LAA
594838,Phil Gosselin,3B,108,Los Angeles Angels,LAA
605164,Dylan Bundy,P,108,Los Angeles Angels,LAA
621493,Taylor Ward,RF,108,Los Angeles Angels,LAA
628452,Raisel Iglesias,P,108,Los Angeles Angels,LAA
642083,Aaron Slegers,P,108,Los Angeles Angels,LAA
650859,Luis Rengifo,SS,108,Los Angeles Angels,LAA
660271,Shohei Ohtani,P,108,Los Angeles Angels,LAA
660761,Jose Suarez,P,108,Los Angeles Angels,LAA
663776,Patrick Sandoval,P,108,Los Angeles Angels,LAA
664058,David Fletcher,2B,108,Los Angeles Angels,LAA
665120,Jared Walsh,1B,108,Los Angeles Angels,LAA
681806,Andrew Wantz,P,108,Los Angeles Angels,LAA
444482,David Peralta,LF,109,Arizona Diamondbacks,ARI
452678,Asdrubal Cabrera,3B,109,Arizona Diamondbacks,ARI
465657,Joakim Soria,P,109,Arizona Diamondbacks,ARI
488748,Ryan Buchter,P,109,Arizona Diamondbacks,ARI
500871,Eduardo Escobar,2B,109,Arizona Diamondbacks,ARI
502210,Josh Reddick,OF,109,Arizona Diamondbacks,ARI
518876,Merrill Kelly,P,109,Arizona Diamondbacks,ARI
519390,Stephen Vogt,C,109,Arizona Diamondbacks,ARI
528748,Humberto Castellanos,P,109,Arizona Diamondbacks,ARI
572233,Christian Walker,1B,109,Arizona Diamondbacks,ARI
573009,Joe Mantiply,P,109,Arizona Diamondbacks,ARI
592407,Bryan Holaday,C,109,Arizona Diamondbacks,ARI
592761,Caleb Smith,P,109,Arizona Diamondbacks,ARI
598287,Noe Ramirez,P,109,Arizona Diamondbacks,ARI
605113,Nick Ahmed,SS,109,Arizona Diamondbacks,ARI
607188,Jake Faria,P,109,Arizona Diamondbacks,ARI
642092,Riley Smith,P,109,Arizona Diamondbacks,ARI
642165,Josh VanMeter,2B,109,Arizona Diamondbacks,ARI
656266,J.B. Bukauskas,P,109,Arizona Diamondbacks,ARI
656976,Pavin Smith,RF,109,Arizona Diamondbacks,ARI
662139,Daulton Varsho,CF,109,Arizona Diamondbacks,ARI
668942,Josh Rojas,RF,109,Arizona Diamondbacks,ARI
670084,Nick Heath,CF,109,Arizona Diamondbacks,ARI
670370,Andrew Young,2B,109,Arizona Diamondbacks,ARI
676840,Matt Peacock,P,109,Arizona Diamondbacks,ARI
676969,Brett de Geus,P,109,Arizona Diamondbacks,ARI
518774,Matt Harvey,P,110,Baltimore Orioles,BAL
592644,Adam Plutko,P,110,Baltimore Orioles,BAL
596748,Maikel Franco,3B,110,Baltimore Orioles,BAL
600474,Pedro Severino,C,110,Baltimore Orioles,BAL
602104,Ramon Urias,2B,110,Baltimore Orioles,BAL
605347,Jorge Lopez,P,110,Baltimore Orioles,BAL
621466,DJ Stewart,RF,110,Baltimore Orioles,BAL
622253,Dillon Tate,P,110,Baltimore Orioles,BAL
623993,Anthony Santander,RF,110,Baltimore Orioles,BAL
641820,Trey Mancini,1B,110,Baltimore Orioles,BAL
642121,Cole Sulser,P,110,Baltimore Orioles,BAL
642162,Pat Valaika,2B,110,Baltimore Orioles,BAL
642736,Domingo Leyba,2B,110,Baltimore Orioles,BAL
642851,Austin Wynns,C,110,Baltimore Orioles,BAL
643316,Paul Fry,P,110,Baltimore Orioles,BAL
656775,Cedric Mullins,CF,110,Baltimore Orioles,BAL
656945,Tanner Scott,P,110,Baltimore Orioles,BAL
657093,Spenser Watkins,P,110,Baltimore Orioles,BAL
663624,Ryan Mountcastle,1B,110,Baltimore Orioles,BAL
663630,Ryan McKenna,CF,110,Baltimore Orioles,BAL
664045,Thomas Eshelman,P,110,Baltimore Orioles,BAL
669211,Keegan Akin,P,110,Baltimore Orioles,BAL
669330,Tyler Wells,P,110,Baltimore Orioles,BAL
669720,Austin Hays,LF,110,Baltimore Orioles,BAL
675912,Zac Lowther,P,110,Baltimore Orioles,BAL
676755,Isaac Mattson,P,110,Baltimore Orioles,BAL
493603,Adam Ottavino,P,111,Boston Red Sox,BOS
502110,J.D. Martinez,LF,111,Boston Red Sox,BOS
503556,Marwin Gonzalez,2B,111,Boston Red Sox,BOS
519443,Brandon Workman,P,111,Boston Red Sox,BOS
527048,Martin Perez,P,111,Boston Red Sox,BOS
542454,Danny Santana,LF,111,Boston Red Sox,BOS
542882,Matt Andriese,P,111,Boston Red Sox,BOS
543135,Nathan Eovaldi,P,111,Boston Red Sox,BOS
543877,Christian Vazquez,C,111,Boston Red Sox,BOS
571771,Enrique Hernandez,CF,111,Boston Red Sox,BOS
572070,Garrett Richards,P,111,Boston Red Sox,BOS
592669,Hunter Renfroe,RF,111,Boston Red Sox,BOS
593428,Xander Bogaerts,SS,111,Boston Red Sox,BOS
593958,Eduardo Rodriguez,P,111,Boston Red Sox,BOS
