game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20200103_NBA_Orlando_MIA,20200103,NBA,spread,full,Miami,Orlando,22,22,35,6,27,29,28,21,85,105,-1.5,-110,1.5,-110,1,-102,-1,-108,1,-102,-1,-108,1.5,-111,-1.5,-111,1,-112,-1,-108,-1,-105,1,-115,1,-105,-1,-105,1,-110,-1,-110,1,-105,-1,-115,1.5,-111,-1.5,-111,1,-112,-1,-108,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20200103
20200103_NBA_Boston_ATL,20200103,NBA,spread,full,Atlanta,Boston,32,23,25,26,19,34,29,27,106,109,11.5,-105,-11.5,-115,10.5,-105,-10.5,-105,10.5,-102,-10.5,-108,10.5,-109,-10.5,-113,10.5,-105,-10.5,-115,11,-110,-11,-110,11,-105,-11,-105,10.5,-110,-10.5,-110,10.5,-110,-10.5,-110,10.5,-109,-10.5,-113,10.5,-105,-10.5,-115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20200103
20200103_NBA_WAS_Portland,20200103,NBA,spread,full,Portland,Washington,27,39,25,31,31,27,20,25,122,103,-5.5,-110,5.5,-110,-7.5,101,7.5,-111,6.5,-105,-6.5,-105,-7,-110,7,-110,-7,-113,7,-107,-7.5,-110,7.5,-110,-7.5,-105,7.5,-105,-7,-110,7,-110,-7.5,-110,7.5,-110,-7,-110,7,-110,-7,-113,7,-107,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20200103
20200103_NBA_HOU_PHI,20200103,NBA,spread,full,Philadelphia,Houston,27,26,31,24,20,40,36,22,108,118,4,-110,-4,-110,4.5,-109,-4.5,-101,4.5,-103,-4.5,-107,3,-112,-3,-110,4.5,-110,-4.5,-110,5,-110,-5,-110,4.5,-105,-4.5,-105,4.5,-110,-4.5,-110,4.5,-110,-4.5,-110,3,-112,-3,-110,4.5,-110,-4.5,-110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20200103
20200103_NBA_Phoenix_New York,20200103,NBA,spread,full,New York,Phoenix,37,24,26,25,29,22,32,37,112,120,5.5,-110,-5.5,-110,7,-114,-7,104,7,-105,-7,-105,7,-115,-7,-105,7,-114,-7,-106,7,-110,-7,-110,6.5,-105,-6.5,-105,7,-110,-7,-110,7,-110,-7,-110,7,-115,-7,-105,7,-114,-7,-106,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20200103
20200103_NBA_L.A. Lakers_NO,20200103,NBA,spread,full,New Orleans,L.A. Lakers,30,32,21,30,42,32,31,18,113,123,11,-110,-11,-110,10,-112,-10,102,10,-109,-10,-101,10,-105,-10,-115,10,-116,-10,-104,10,-105,-10,-115,9.5,-105,-9.5,-105,10,-110,-10,-110,10.5,-110,-10.5,-110,10,-105,-10,-115,10,-116,-10,-104,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20200103
