Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20170206,NBA,moneyline,full,Oklahoma City,Indiana,25,27,18,20,0,20,21,32,90,93,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,L.A. Lakers,New York,29,32,36,24,19,26,28,34,121,107,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,Cleveland,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,Utah,Atlanta,29,25,37,29,21,29,23,22,120,95,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,L.A. Clippers,Toronto,31,29,22,27,35,35,27,21,109,118,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,Philadelphia,Detroit,27,19,21,29,24,31,34,24,96,113,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,Phoenix,New Orleans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,Miami,Minnesota,40,31,22,22,33,24,31,25,115,113,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,Dallas,Denver,24,13,30,20,29,30,23,28,87,110,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,San Antonio,Memphis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
20170206,NBA,moneyline,full,Chicago,Sacramento,27,33,25,27,11,34,24,38,112,107,,,,,,,,,,,,,,,,,,,,,,,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20170206
