Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20190417,NBA,moneyline,full,Indiana,Boston,33,17,29,12,29,23,16,31,91,99,+271,-335,+257,-291,+260,-290,+245,-300,+255,-305,+260,-320,+270,-330,+800,-1600,+255,-330,+245,-300,+255,-305,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20190417
20190417,NBA,moneyline,full,Detroit,Milwaukee,27,32,17,23,38,20,35,27,99,120,+1221,-2700,+1464,-2429,+1150,-1450,+1070,-2100,+1175,-2000,+950,-2000,+1225,-1875,+900,-2000,+1000,-1650,+1070,-2100,+1175,-2000,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20190417
20190417,NBA,moneyline,full,Utah,Houston,19,25,23,31,39,31,25,23,98,118,+222,-270,+246,-278,+245,-265,+222,-270,+240,-285,+255,-310,+245,-305,+700,-1200,+230,-280,+222,-270,+240,-285,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20190417
