Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20200804,NBA,total,full,Brooklyn,Milwaukee,40,33,21,25,34,31,23,28,119,116,228 -110,228 -110,230 +101,230 -114,230 -105,230 -105,229 -110,229 -110,230½ -113,230½ -107,230 -105,230 -115,229½ -105,229½ -105,230 -110,230 -110,230 -110,230 -110,229 -110,229 -110,230½ -113,230½ -107,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20200804
20200804,NBA,total,full,Dallas,Sacramento,27,29,19,20,19,37,23,22,114,110,237 -110,237 -110,236 -109,236 -103,236½ -102,236½ -108,236 -110,236 -110,236½ -110,236½ -110,236 -110,236 -110,235 -105,235 -105,236½ -110,236½ -110,236 -110,236 -110,236 -110,236 -110,236½ -110,236½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20200804
20200804,NBA,total,full,Phoenix,LA,27,36,32,22,23,33,35,24,117,115,230 -110,230 -110,229½ -104,229½ -108,230 -103,230 -107,228½ -110,228½ -110,230 -110,230 -110,230 -115,230 -105,229½ -105,229½ -105,230 -110,230 -110,230 -110,230 -110,228½ -110,228½ -110,230 -110,230 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20200804
20200804,NBA,total,full,Orlando,Indiana,22,28,26,33,43,28,21,28,109,120,224 -110,224 -110,224 -102,224 -110,224 -102,224 -108,223½ -110,223½ -110,225 -105,225 -115,224½ -110,224½ -110,223½ -105,223½ -105,224 -110,224 -110,224½ -110,224½ -110,223½ -110,223½ -110,225 -105,225 -115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20200804
20200804,NBA,total,full,Boston,Miami,28,23,32,23,33,30,28,21,106,112,223½ -110,223½ -110,218 -111,218 -101,218 -108,218 -102,212 -115,212 -115,218 -115,218 -105,218½ -105,218½ -115,218 -105,218 -105,218 -110,218 -110,218 -110,218 -110,212 -115,212 -115,218 -115,218 -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20200804
20200804,NBA,total,full,Houston,Portland,24,32,24,22,29,32,25,24,102,110,244 -110,244 -110,244½ +101,244½ -114,244 -105,244 -105,245½ -116,245½ -113,245 -110,245 -110,244 -105,244 -115,243 -105,243 -105,244 -110,244 -110,245 -110,245 -110,245½ -116,245½ -113,245 -110,245 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20200804
