Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20160223,NBA,spread,full,New Orleans,Washington,19,32,14,24,24,30,31,24,89,109,+4½ -110,-4½ -110,+4½ +100,-4½ -110,+5 -110,-5 -110,+5 -105,-5 -115,+5 -108,-5 -112,+5 -115,-5 -105,+4½ -105,-4½ -105,+4½ -110,-4½ -110,+4½ -110,-4½ -110,+5 -105,-5 -115,+5 -108,-5 -112,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160223
20160223,NBA,spread,full,Orlando,Philadelphia,33,34,30,27,31,31,31,22,124,115,-5½ -110,+5½ -110,-5½ -102,+5½ -108,-5½ -110,+5½ -110,-5½ -110,+5½ -110,-5½ -111,+5½ -109,-6 -110,+6 -110,-6 -105,+6 -105,-5½ -110,+5½ -110,-5½ -110,+5½ -110,-5½ -110,+5½ -110,-5½ -111,+5½ -109,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160223
20160223,NBA,spread,full,Sacramento,Denver,28,33,30,23,25,25,27,33,114,110,PK-110,PK-110,+2½ -103,-2½ -107,+2½ -108,-2½ -102,+2½ -110,-2½ -110,+2½ -108,-2½ -112,+2½ -105,-2½ -115,,,+2½ -110,-2½ -110,+2½ -110,-2½ -110,+2½ -110,-2½ -110,+2½ -108,-2½ -112,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160223
20160223,NBA,spread,full,Houston,Utah,8,28,32,23,8,34,22,23,99,117,+5 -110,-5 -110,+5 -110,-5 +100,+5 -108,-5 -102,+4½ -105,-4½ -115,+4½ -105,-4½ -115,+4½ -110,-4½ -110,+4½ -105,-4½ -105,+5 -110,-5 -110,+4½ -110,-4½ -110,+4½ -105,-4½ -115,+4½ -105,-4½ -115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160223
20160223,NBA,spread,full,Brooklyn,Portland,21,28,33,22,34,29,22,27,104,112,+11½ -110,-11½ -110,+11½ -109,-11½ -101,+12 -119,-12 -101,+11½ -110,-11½ -110,+11½ -110,-11½ -110,+12 -110,-12 -110,+11½ -105,-11½ -105,+11½ -110,-11½ -110,+11½ -110,-11½ -110,+11½ -110,-11½ -110,+11½ -110,-11½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/?date=20160223
