game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20160221_NBA_Oklahoma City_CLE,20160221,NBA,moneyline,full,Cleveland,Oklahoma City,27,35,33,20,28,25,20,19,115,92,130,NA,-150,NA,143,NA,-158,NA,140,NA,-160,NA,142,NA,-162,NA,139,NA,-159,NA,135,NA,-155,NA,145,NA,-165,NA,140,NA,-160,NA,140,NA,-160,NA,142,NA,-162,NA,139,NA,-159,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_DET_NO,20160221,NBA,moneyline,full,New Orleans,Detroit,28,27,25,31,25,30,20,31,111,106,175,NA,-205,NA,171,NA,-190,NA,170,NA,-200,NA,170,NA,-200,NA,170,NA,-195,NA,175,NA,-210,NA,180,NA,-210,NA,165,NA,-190,NA,175,NA,-200,NA,170,NA,-200,NA,170,NA,-195,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_Phoenix_San Antonio,20160221,NBA,moneyline,full,San Antonio,Phoenix,30,30,28,30,21,29,32,29,118,111,-3200,NA,1200,NA,-2300,NA,1414,NA,-2250,NA,1700,NA,-2000,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2445,NA,1495,NA,-3000,NA,1100,NA,NA,NA,NA,NA,-2000,NA,1000,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_DEN_Boston,20160221,NBA,moneyline,full,Boston,Denver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-145,NA,125,NA,-133,NA,120,NA,-135,NA,125,NA,-140,NA,120,NA,-137,NA,117,NA,-160,NA,140,NA,-150,NA,130,NA,-145,NA,125,NA,-155,NA,135,NA,-145,NA,125,NA,-137,NA,117,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_Toronto_Memphis,20160221,NBA,moneyline,full,Memphis,Toronto,20,23,21,21,22,24,28,24,85,98,290,NA,-355,NA,310,NA,-355,NA,295,NA,-355,NA,276,NA,-341,NA,300,NA,-360,NA,275,NA,-350,NA,285,NA,-355,NA,275,NA,-340,NA,290,NA,-350,NA,276,NA,-341,NA,300,NA,-360,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_Brooklyn_Charlotte,20160221,NBA,moneyline,full,Charlotte,Brooklyn,29,26,31,18,26,22,25,23,104,96,-270,NA,220,NA,-300,NA,264,NA,-295,NA,265,NA,-311,NA,251,NA,-290,NA,245,NA,-320,NA,260,NA,-315,NA,255,NA,-310,NA,255,NA,-310,NA,250,NA,-311,NA,251,NA,-290,NA,245,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_Orlando_Indiana,20160221,NBA,moneyline,full,Indiana,Orlando,20,27,33,25,22,25,32,23,105,102,-105,NA,-115,NA,-110,NA,100,NA,-120,NA,110,NA,-125,NA,105,NA,-123,NA,103,NA,NA,NA,NA,NA,-125,NA,105,NA,-125,NA,105,NA,-125,NA,105,NA,-125,NA,105,NA,-123,NA,103,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_DAL_PHI,20160221,NBA,moneyline,full,Philadelphia,Dallas,30,24,26,23,28,38,29,34,103,129,435,NA,-575,NA,404,NA,-475,NA,400,NA,-500,NA,400,NA,-500,NA,405,NA,-500,NA,375,NA,-550,NA,415,NA,-540,NA,365,NA,-480,NA,445,NA,-550,NA,400,NA,-500,NA,405,NA,-500,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_CHI_L.A. Lakers,20160221,NBA,moneyline,full,L.A. Lakers,Chicago,30,28,23,34,31,31,35,29,115,126,235,NA,-295,NA,252,NA,-285,NA,275,NA,-305,NA,250,NA,-310,NA,260,NA,-310,NA,265,NA,-330,NA,260,NA,-320,NA,250,NA,-300,NA,240,NA,-300,NA,250,NA,-310,NA,260,NA,-310,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
20160221_NBA_Portland_Utah,20160221,NBA,moneyline,full,Utah,Portland,25,27,30,29,18,29,33,35,111,115,140,NA,-160,NA,140,NA,-155,NA,145,NA,-155,NA,142,NA,-162,NA,143,NA,-163,NA,145,NA,-165,NA,135,NA,-155,NA,140,NA,-160,NA,130,NA,-150,NA,142,NA,-162,NA,143,NA,-163,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20160221
