game_id,Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open_line,away_open_odds,home_open_line,home_open_odds,away_pinnacle_line,away_pinnacle_odds,home_pinnacle_line,home_pinnacle_odds,away_fiveDimes_line,away_fiveDimes_odds,home_fiveDimes_line,home_fiveDimes_odds,away_bookmaker_line,away_bookmaker_odds,home_bookmaker_line,home_bookmaker_odds,away_BOL_line,away_BOL_odds,home_BOL_line,home_BOL_odds,away_Bovada_line,away_Bovada_odds,home_Bovada_line,home_Bovada_odds,away_Heritage_line,away_Heritage_odds,home_Heritage_line,home_Heritage_odds,away_Intertops_line,away_Intertops_odds,home_Intertops_line,home_Intertops_odds,away_youwager_line,away_youwager_odds,home_youwager_line,home_youwager_odds,away_justbet_line,away_justbet_odds,home_justbet_line,home_justbet_odds,away_sportsbet_line,away_sportsbet_odds,home_sportsbet_line,home_sportsbet_odds,oddsURL
20181005_NBA_PHI_DAL,20181005,NBA,moneyline,full,Dallas,Philadelphia,35,27,23,29,0,26,38,28,114,120,NA,NA,NA,NA,211,NA,-259,NA,255,NA,-335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,-280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
20181005_NBA_WAS_MIA,20181005,NBA,moneyline,full,Miami,Washington,28,31,25,30,26,25,38,32,114,121,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,-190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,-175,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
20181005_NBA_New York_NO,20181005,NBA,moneyline,full,New Orleans,New York,29,28,24,19,32,30,31,13,100,106,NA,NA,NA,NA,NA,NA,NA,NA,-145,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-150,NA,130,NA,NA,NA,NA,NA,-145,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
20181005_NBA_MIN_Oklahoma City,20181005,NBA,moneyline,full,Oklahoma City,Minnesota,31,32,26,24,20,29,24,28,113,101,NA,NA,NA,NA,132,NA,-158,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,-155,NA,135,NA,-155,NA,135,NA,-155,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
20181005_NBA_Memphis_ATL,20181005,NBA,moneyline,full,Atlanta,Memphis,26,28,20,36,34,29,35,22,110,120,NA,NA,NA,NA,150,NA,-180,NA,155,NA,-175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,-175,NA,NA,NA,NA,NA,155,NA,-175,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
20181005_NBA_San Antonio_DET,20181005,NBA,moneyline,full,Detroit,San Antonio,22,27,19,25,37,24,25,31,93,117,NA,NA,NA,NA,166,NA,-200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,-225,NA,NA,NA,-220,NA,180,NA,-210,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
20181005_NBA_Phoenix_Portland,20181005,NBA,moneyline,full,Portland,Phoenix,30,21,35,29,18,24,15,36,115,93,NA,NA,NA,NA,-187,NA,155,NA,-185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180,NA,160,NA,-185,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
20181005_NBA_Golden State_Sacramento,20181005,NBA,moneyline,full,Sacramento,Golden State,18,26,25,25,25,0,0,39,119,142,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,-270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,-305,NA,240,NA,NA,NA,240,NA,-290,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
20181005_NBA_KK Rogaska_HKK Zrinski Mostar,20181005,NBA,moneyline,full,HKK Zrinski Mostar,KK Rogaska,14,23,11,14,10,26,15,15,62,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20181005
