Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20151227,NBA,moneyline,full,L.A. Lakers,Memphis,23,23,28,22,32,27,33,20,96,112,+600,-900,+450,-535,+425,-550,+430,-550,+445,-550,+425,-650,+465,-590,+425,-580,+425,-550,+430,-550,+445,-550,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20151227
20151227,NBA,moneyline,full,New York,Boston,18,23,24,26,22,29,26,23,91,100,+260,-325,+338,-390,+325,-400,+345,-425,+330,-400,+300,-400,+320,-400,+330,-420,+335,-425,+345,-425,+330,-400,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20151227
20151227,NBA,moneyline,full,Denver,Oklahoma City,31,30,29,22,32,21,38,31,112,122,+1400,-3400,+1981,-4125,+1600,-3200,+1700,-5000,+2000,-3500,,,+1855,-3605,+1400,-5000,,,+1700,-5000,+2000,-3500,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20151227
20151227,NBA,moneyline,full,Portland,Sacramento,29,20,31,18,30,21,29,14,98,94,+275,-340,+393,-460,+365,-460,+355,-450,+385,-460,+325,-450,+360,-450,+360,-470,+340,-440,+355,-450,+385,-460,https://classic.sportsbookreview.com/betting-odds/nba-basketball/money-line/?date=20151227
