Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20191114,NBA,total,full,Miami,Cleveland,34,34,26,14,22,22,30,23,108,97,216 -110,216 -110,215½ -102,215½ -108,215 -103,215 -107,214½ -108,214½ -112,215 -109,215 -111,215 -110,215 -110,215 -105,215 -105,215½ -110,215½ -110,215 -110,215 -110,214½ -108,214½ -112,215 -109,215 -111,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20191114
20191114,NBA,total,full,LA,New Orleans,35,24,38,30,34,38,24,36,127,132,236½ -110,236½ -110,233 -112,233 +102,233 -105,233 -105,234 -110,234 -110,233 -105,233 -115,232½ -110,232½ -110,233½ -105,233½ -105,233 -110,233 -110,233 -110,233 -110,234 -110,234 -110,233 -105,233 -115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20191114
20191114,NBA,total,full,Dallas,New York,23,30,34,16,27,31,29,19,103,106,216½ -110,216½ -110,215 -104,215 -106,214½ -105,214½ -105,214½ -110,214½ -110,214½ -109,214½ -111,215 -110,215 -110,214 -105,214 -105,214½ -110,214½ -110,214½ -110,214½ -110,214½ -110,214½ -110,214½ -109,214½ -111,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20191114
20191114,NBA,total,full,Chicago,Milwaukee,32,34,20,29,30,35,32,27,115,124,230 -111,230 -109,229 -103,229 -107,228½ -105,228½ -105,228½ -110,228½ -110,228½ -110,228½ -110,229 -110,229 -110,228½ -105,228½ -105,228½ -110,228½ -110,228½ -110,228½ -110,228½ -110,228½ -110,228½ -110,228½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20191114
20191114,NBA,total,full,Atlanta,Phoenix,33,28,29,22,31,36,37,24,112,128,227½ -110,227½ -110,229½ -103,229½ -107,230 -105,230 -105,231 -110,231 -110,230 -109,230 -111,230 -110,230 -110,230 -105,230 -105,229½ -110,229½ -110,230 -110,230 -110,229½ -110,229½ -110,230 -109,230 -111,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20191114
20191114,NBA,total,full,Brooklyn,Denver,35,26,18,14,28,21,30,22,93,101,224 -110,224 -110,222½ -105,222½ -105,222½ -105,222½ -105,222½ -111,222½ -109,222½ -107,222½ -113,223½ -110,223½ -110,222 -105,222 -105,222½ -110,222½ -110,223 -110,223 -110,222½ -111,222½ -109,222½ -107,222½ -113,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20191114
