Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20150205,NBA,total,full,Washington,Charlotte,30,24,20,13,34,15,20,25,87,94,186 -110,186 -110,187 -106,187 -104,187½ -105,187½ -105,187 -110,187 -110,187½ -110,187½ -110,188 -105,188 -115,187 -108,187 -108,187½ -110,187½ -110,187 -110,187 -110,187 -110,187 -110,187½ -110,187½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150205
20150205,NBA,total,full,L.A. Clippers,Cleveland,20,22,21,31,30,35,29,11,94,105,206 -110,206 -110,208 -102,208 -108,207½ -105,207½ -105,207½ -110,207½ -110,208 -105,208 -115,208 -115,208 -105,207½ -108,207½ -108,207½ -110,207½ -110,208 -110,208 -110,207½ -110,207½ -110,208 -105,208 -115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150205
20150205,NBA,total,full,Dallas,Sacramento,23,37,23,18,23,20,17,18,101,78,209 -110,209 -110,209½ -105,209½ -105,209½ -105,209½ -105,209½ -110,209½ -110,209½ -110,209½ -110,210 -105,210 -115,210 -108,210 -108,209½ -110,209½ -110,209½ -110,209½ -110,209½ -110,209½ -110,209½ -110,209½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150205
20150205,NBA,total,full,Phoenix,Portland,15,20,30,22,27,19,20,42,87,108,210 -110,210 -110,211 -103,211 -107,211½ -105,211½ -105,211½ -108,211½ -112,211½ -110,211½ -110,212 -105,212 -115,212 -108,212 -108,211½ -110,211½ -110,212 -110,212 -110,211½ -108,211½ -112,211½ -110,211½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20150205
