Date,Sport,bet_type,period,away_Team,home_Team,away_1Q,away_2Q,away_3Q,away_4Q,home_1Q,home_2Q,home_3Q,home_4Q,away_score,home_score,away_open,home_open,pinnacle1,pinnacle2,fiveDimes1,fiveDimes2,bookmaker1,bookmaker2,BOL1,BOL2,Bovada1,Bovada2,Heritage1,Heritage2,Intertops1,Intertops2,youwager1,youwager2,justbet1,justbet2,sportsbet1,sportsbet2,oddsURL
20180401,NBA,total,full,Philadelphia,Charlotte,28,32,31,28,29,22,27,24,119,102,217½ -110,217½ -110,221½ -108,221½ -102,221½ -104,221½ -106,222½ -110,222½ -110,222 -110,222 -110,221 -115,221 -105,222 -105,222 -105,221½ -110,221½ -110,222 -110,222 -110,222½ -110,222½ -110,222 -110,222 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Houston,San Antonio,17,21,28,17,26,20,29,25,83,100,208½ -110,208½ -110,205 -103,205 -107,205½ -105,205½ -105,205 -110,205 -110,205½ -105,205½ -115,207 -105,207 -115,205½ -105,205½ -105,206 -110,206 -110,205 -110,205 -110,205 -110,205 -110,205½ -105,205½ -115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Indiana,L.A. Clippers,22,28,26,35,30,21,27,26,111,104,215½ -110,215½ -110,212½ -106,212½ -104,212 -105,212 -105,212 -110,212 -110,212½ -105,212½ -115,212 -115,212 -105,212½ -105,212½ -105,212 -110,212 -110,212½ -110,212½ -110,212 -110,212 -110,212½ -105,212½ -115,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Washington,Chicago,27,32,16,19,36,32,19,26,94,113,210½ -110,210½ -110,207 +102,207 -113,206 -105,206 -105,205½ -110,205½ -110,206½ -110,206½ -110,206 -115,206 -105,206 -105,206 -105,206 -110,206 -110,206½ -110,206½ -110,205½ -110,205½ -110,206½ -110,206½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Oklahoma City,New Orleans,20,33,27,29,28,22,25,29,109,104,226 -110,226 -110,226½ -105,226½ -105,227 -108,227 -102,226½ -110,226½ -110,226½ -110,226½ -110,227 -105,227 -115,227 -105,227 -105,227 -110,227 -110,227 -110,227 -110,226½ -110,226½ -110,226½ -110,226½ -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Orlando,Atlanta,18,25,21,24,21,35,13,25,88,94,209 -110,209 -110,209 -105,209 -105,209½ -103,209½ -107,209½ -110,209½ -110,209 -115,209 -105,209 -115,209 -105,209½ -105,209½ -105,209 -110,209 -110,209 -110,209 -110,209½ -110,209½ -110,209 -115,209 -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Detroit,Brooklyn,33,29,21,25,28,20,22,26,108,96,210 -110,210 -110,213 -105,213 -105,212½ -105,212½ -105,212½ -110,212½ -110,212½ -115,212½ -105,212 -115,212 -105,213 -105,213 -105,212½ -110,212½ -110,212 -110,212 -110,212½ -110,212½ -110,212½ -115,212½ -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Dallas,Cleveland,25,22,30,10,18,30,25,25,87,98,217½ -110,217½ -110,213½ -105,213½ -105,213 -105,213 -105,213 -110,213 -110,213 -115,213 -105,213 -115,213 -105,213½ -105,213½ -105,213 -110,213 -110,213 -110,213 -110,213 -110,213 -110,213 -115,213 -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Utah,Minnesota,28,33,26,34,26,24,21,26,121,97,208½ -110,208½ -110,208 -105,208 -105,208 -103,208 -107,207½ -110,207½ -110,208 -110,208 -110,208 -110,208 -110,208 -105,208 -105,208 -110,208 -110,208½ -110,208½ -110,207½ -110,207½ -110,208 -110,208 -110,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
20180401,NBA,total,full,Milwaukee,Denver,34,20,38,19,14,22,41,16,125,128,223½ -110,223½ -110,223 -105,223 -105,223½ -103,223½ -107,223½ -110,223½ -110,223 -115,223 -105,223 -115,223 -105,223½ -105,223½ -105,223 -110,223 -110,223 -110,223 -110,223½ -110,223½ -110,223 -115,223 -105,https://classic.sportsbookreview.com/betting-odds/nba-basketball/totals/?date=20180401
