TEAM_ABBREVIATION,HOME_AWAY,MATCHUP,TO_PLAY_DESC,PLAYER_NAME,NAME_SHORT,STARTING_POSITION
CHA,is-visit,CHALAC,Very Likely To Play,Gordon Hayward,G. Hayward,SF
CHA,is-visit,CHALAC,Very Likely To Play,P.J. Washington,P. Washington,PF
CHA,is-visit,CHALAC,Very Likely To Play,Bismack Biyombo,B. Biyombo,C
CHA,is-visit,CHALAC,Very Unlikely To Play,Cody Zeller,C. Zeller,C
LAC,is-home,CHALAC,Very Likely To Play,Reggie Jackson,R. Jackson,PG
LAC,is-home,CHALAC,Very Likely To Play,Paul George,Paul George,SG
LAC,is-home,CHALAC,Very Likely To Play,Kawhi Leonard,Kawhi Leonard,SF
LAC,is-home,CHALAC,Very Likely To Play,Marcus Morris,Marcus Morris,PF
LAC,is-home,CHALAC,Toss Up To Play,Serge Ibaka,S. Ibaka,C
LAC,is-home,CHALAC,Very Unlikely To Play,Patrick Beverley,P. Beverley,G
